NR,0+98+100+101+102
NR82,0+100
NR82NE,0+100
NR82X,0+100
NR8925,0+100
NR898259,0+100
NR899257,0+100
NR899258,0+100
NR899259,0+100
NR82Y,0+100
NR8926,0+100
NR897267,0+100
NR897268,0+100
NR897269,0+100
NR898260,0+100
NR898261,0+100
NR898262,0+100
NR898264,0+100
NR898265,0+100
NR898266,0+100
NR898267,0+100
NR898268,0+100
NR898269,0+100
NR899260,100
NR899261,100
NR899262,0+100
NR899263,0+100
NR899264,0+100
NR899265,100
NR899266,100
NR899267,100
NR899268,100
NR899269,100
NR8927,0+100
NR894277,0+100
NR894278,0+100
NR894279,0+100
NR895277,0+100
NR895278,0+100
NR895279,0+100
NR896277,0+100
NR896278,0+100
NR896279,100
NR897276,0+100
NR897277,0+100
NR897278,100
NR897279,100
NR898270,0+100
NR898275,0+100
NR898276,0+100
NR898277,0+100
NR898278,100
NR898279,100
NR899270,0+100
NR899271,0+100
NR899272,0+100
NR899273,0+100
NR899274,0+100
NR899275,0+100
NR899276,100
NR899277,100
NR899278,100
NR899279,100
NR82Z,0+100
NR8828,0+100
NR881286,0+100
NR881287,0+100
NR881288,0+100
NR881289,0+100
NR882286,0+100
NR882287,0+100
NR882288,100
NR882289,0+100
NR883287,0+100
NR883288,100
NR883289,100
NR884285,0+100
NR884286,0+100
NR884287,0+100
NR884288,100
NR884289,100
NR885286,0+100
NR885287,100
NR885288,100
NR885289,100
NR886286,0+100
NR886287,100
NR886288,100
NR886289,100
NR887285,0+100
NR887286,0+100
NR887287,100
NR887288,100
NR887289,100
NR888284,0+100
NR888285,0+100
NR888286,100
NR888287,100
NR888288,100
NR888289,100
NR889283,0+100
NR889284,0+100
NR889285,100
NR889286,100
NR889287,100
NR889288,100
NR889289,100
NR8829,0+100
NR882290,0+100
NR882291,0+100
NR883290,100
NR883291,0+100
NR884290,100
NR884291,0+100
NR884292,0+100
NR884293,0+100
NR884294,0+100
NR884296,0+100
NR884297,0+100
NR884298,0+100
NR884299,0+100
NR885290,100
NR885291,100
NR885292,100
NR885293,100
NR885294,0+100
NR885295,0+100
NR885296,0+100
NR885297,100
NR885298,100
NR885299,100
NR886290,100
NR886291,100
NR886292,100
NR886293,100
NR886294,100
NR886295,100
NR886296,100
NR886297,100
NR886298,100
NR886299,100
NR887290,100
NR887291,100
NR887292,100
NR887293,100
NR887294,100
NR887295,100
NR887296,100
NR887297,100
NR887298,100
NR887299,100
NR888290,100
NR888291,100
NR888292,100
NR888293,100
NR888294,100
NR888295,100
NR888296,100
NR888297,100
NR888298,100
NR888299,100
NR889290,100
NR889291,100
NR889292,100
NR889293,100
NR889294,100
NR889295,100
NR889296,100
NR889297,100
NR889298,100
NR889299,100
NR8928,0+100
NR890281,0+100
NR890282,0+100
NR890283,0+100
NR890284,0+100
NR890285,100
NR890286,100
NR890287,100
NR890288,100
NR890289,100
NR891281,0+100
NR891282,0+100
NR891283,100
NR891284,100
NR891285,100
NR891286,100
NR891287,100
NR891288,100
NR891289,100
NR892282,0+100
NR892283,100
NR892284,100
NR892285,100
NR892286,100
NR892287,100
NR892288,100
NR892289,100
NR893281,0+100
NR893282,0+100
NR893283,100
NR893284,100
NR893285,100
NR893286,100
NR893287,100
NR893288,100
NR893289,100
NR894280,0+100
NR894281,0+100
NR894282,100
NR894283,100
NR894284,100
NR894285,100
NR894286,100
NR894287,100
NR894288,100
NR894289,100
NR895280,100
NR895281,100
NR895282,100
NR895283,100
NR895284,100
NR895285,100
NR895286,100
NR895287,100
NR895288,100
NR895289,100
NR896280,100
NR896281,100
NR896282,100
NR896283,100
NR896284,100
NR896285,100
NR896286,100
NR896287,100
NR896288,100
NR896289,100
NR897280,100
NR897281,100
NR897282,100
NR897283,100
NR897284,100
NR897285,100
NR897286,100
NR897287,100
NR897288,100
NR897289,100
NR898280,100
NR898281,100
NR898282,100
NR898283,100
NR898284,100
NR898285,100
NR898286,100
NR898287,100
NR898288,100
NR898289,100
NR899280,100
NR899281,100
NR899282,100
NR899283,100
NR899284,100
NR899285,100
NR899286,100
NR899287,100
NR899288,100
NR899289,100
NR8929,100
NR83,0+100+101
NR83SE,0+100
NR83NE,0+100
NR83T,0+100
NR8736,0+100
NR879369,0+100
NR8737,0+100
NR873379,0+100
NR874377,0+100
NR874378,0+100
NR874379,0+100
NR875375,0+100
NR875376,0+100
NR875377,0+100
NR875378,100
NR875379,100
NR876373,0+100
NR876374,0+100
NR876375,0+100
NR876376,100
NR876377,100
NR876378,100
NR876379,100
NR877372,0+100
NR877373,0+100
NR877374,100
NR877375,100
NR877376,100
NR877377,100
NR877378,100
NR877379,100
NR878371,0+100
NR878372,0+100
NR878373,100
NR878374,100
NR878375,100
NR878376,100
NR878377,100
NR878378,100
NR878379,100
NR879370,0+100
NR879371,0+100
NR879372,100
NR879373,100
NR879374,100
NR879375,100
NR879376,100
NR879377,100
NR879378,100
NR879379,100
NR83U,0+100
NR8638,0+100
NR869389,0+100
NR8639,0+100
NR865398,0+100
NR865399,0+100
NR866396,0+100
NR866397,0+100
NR866398,0+100
NR866399,0+100
NR867394,0+100
NR867395,0+100
NR867396,0+100
NR867397,100
NR867398,100
NR867399,100
NR868391,0+100
NR868392,0+100
NR868393,0+100
NR868394,0+100
NR868395,100
NR868396,100
NR868397,100
NR868398,100
NR868399,100
NR869390,0+100
NR869391,0+100
NR869392,100
NR869393,100
NR869394,100
NR869395,100
NR869396,100
NR869397,100
NR869398,100
NR869399,100
NR8738,0+100
NR870387,0+100
NR870388,0+100
NR870389,0+100
NR871383,0+100
NR871384,0+100
NR871385,0+100
NR871386,0+100
NR871387,0+100
NR871388,100
NR871389,100
NR872381,0+100
NR872382,0+100
NR872383,0+100
NR872384,100
NR872385,100
NR872386,100
