NY,0+65+66+67+68+69+70+72+73+80
NY008631,73
NY008632,73
NY008633,0+73
NY008634,0+73
NY009630,73
NY009631,0+73
NY009632,0+73
NY009633,0+73
NY0162,0+73
NY010620,73
NY010621,73
NY010622,73
NY010623,73
NY010624,73
NY010625,73
NY010626,73
NY010627,73
NY010628,73
NY010629,73
NY011620,73
NY011621,73
NY011622,73
NY011623,73
NY011624,73
NY011625,73
NY011626,73
NY011627,73
NY011628,73
NY011629,0+73
NY012620,73
NY012621,73
NY012622,73
NY012623,73
NY012624,73
NY012625,73
NY012626,73
NY012627,73
NY012628,0+73
NY012629,0+73
NY013620,73
NY013621,73
NY013622,73
NY013623,73
NY013624,73
NY013625,73
NY013626,73
NY013627,0+73
NY013628,0+73
NY014620,73
NY014621,73
NY014622,73
NY014623,73
NY014624,73
NY014625,73
NY014626,0+73
NY014627,0+73
NY015620,73
NY015621,73
NY015622,73
NY015623,73
NY015624,73
NY015625,0+73
NY015626,0+73
NY016620,73
NY016621,73
NY016622,73
NY016623,73
NY016624,0+73
NY016625,0+73
NY017620,73
NY017621,73
NY017622,73
NY017623,0+73
NY017624,0+73
NY018620,73
NY018621,73
NY018622,0+73
NY018623,0+73
NY019620,73
NY019621,0+73
NY019622,0+73
NY0163,0+73
NY010630,0+73
NY010631,0+73
NY011630,0+73
NY06F,0+72+73
NY0260,0+73
NY020600,73
NY020601,73
NY020602,73
NY020603,73
NY020604,73
NY020605,73
NY020606,73
NY020607,73
NY020608,73
NY020609,73
NY021600,73
NY021601,73
NY021602,73
NY021603,73
NY021604,73
NY021605,73
NY021606,73
NY021607,73
NY021608,73
NY021609,73
NY022600,73
NY022601,73
NY022602,73
NY022603,73
NY022604,73
NY022605,73
NY022606,73
NY022607,73
NY022608,73
NY022609,73
NY023600,73
NY023601,73
NY023602,73
NY023603,73
NY023604,73
NY023605,73
NY023606,73
NY023607,73
NY023608,73
NY023609,73
NY024600,73
NY024601,73
NY024602,73
NY024603,73
NY024604,73
NY024605,73
NY024606,73
NY024607,73
NY024608,73
NY024609,73
NY025600,73
NY025601,73
NY025602,73
NY025603,73
NY025604,73
NY025605,73
NY025606,73
NY025607,73
NY025608,73
NY025609,73
NY026600,73
NY026601,73
NY026602,73
NY026603,73
NY026604,73
NY026605,73
NY026606,73
NY026607,73
NY026608,73
NY026609,73
NY027600,0+73
NY027601,73
NY027602,73
NY027603,73
NY027604,73
NY027605,73
NY027606,73
NY027607,0+73
NY027608,0+73
NY027609,0+73
NY028600,0+73
NY028601,73
NY028602,73
NY028603,73
NY028604,0+73
NY028605,0+73
NY028606,0+73
NY028607,0+73
NY029600,0+73
NY029601,0+73
NY029602,0+73
NY029603,0+73
NY029604,0+73
NY0261,0+73
NY020610,73
NY020611,73
NY020612,73
NY020613,73
NY020614,73
NY020615,73
NY020616,73
NY020617,73
NY020618,73
NY020619,73
NY021610,73
NY021611,73
NY021612,73
NY021613,73
NY021614,73
NY021615,73
NY021616,73
NY021617,73
NY021618,73
NY021619,0+73
NY022610,73
NY022611,73
NY022612,73
NY022613,73
NY022614,73
NY022615,73
NY022616,73
NY022617,0+73
NY022618,0+73
NY022619,0+73
NY023610,73
NY023611,73
NY023612,73
NY023613,73
NY023614,73
NY023615,73
NY023616,0+73
NY023617,0+73
NY024610,73
NY024611,73
NY024612,73
NY024613,73
NY024614,0+73
NY024615,0+73
NY024616,0+73
NY025610,73
NY025611,73
NY025612,73
NY025613,0+73
NY025614,0+73
NY026610,0+73
NY026611,0+73
NY026612,0+73
NY026613,0+73
NY027610,0+73
NY0360,0+72+73
NY030600,0+73
NY030601,0+73
NY06G,0+72+73
NY0262,0+73
NY020620,0+73
NY020621,0+73
NY021620,0+73
NS,0+72+73+75+76+77+83+84+85+86+87+98+99+100
NS50,73+75
NS50SW,73+75
NS50SE,73+75
NS50NE,73+75
NS50A,73+75
NS5100,73+75
NS513000,73+75
NS514000,73+75
NS515000,73+75
NS515001,73+75
NS515002,73+75
NS515005,73+75
NS515006,73+75
NS516000,73
NS516001,73
NS516002,73+75
NS516003,73+75
NS516004,73+75
NS516005,73+75
NS516006,73+75
NS517000,73
NS517001,73
NS517002,73
NS517003,73
NS517004,73
NS517005,73+75
NS517006,73+75
NS518000,73
NS518001,73
NS518002,73
NS518003,73
NS518004,73
NS518005,73+75
NS519000,73
NS519001,73
NS519002,73
NS519003,73
NS519004,73+75
NS519005,73+75
NS50F,73+75
