TA,0+54+61+62
TA08,0+61+62
TA08SW,61+62
TA08NW,0+62
TA08SE,0+61+62
TA08NE,0+62
TA08A,61+62
TA0080,61+62
TA000806,61+62
TA000807,62
TA000808,62
TA000809,62
TA001806,61+62
TA001807,61+62
TA001808,62
TA001809,62
TA002807,61+62
TA002808,62
TA002809,62
TA003807,61+62
TA003808,61+62
TA003809,62
TA004808,61+62
TA004809,62
TA005808,61+62
TA005809,62
TA006808,61+62
TA006809,61+62
TA007809,61+62
TA008809,61+62
TA009809,61+62
TA0081,62
TA0180,61+62
TA010809,61+62
TA011809,61+62
TA012809,61+62
TA013809,61+62
TA014809,61+62
TA015809,61+62
TA0181,61+62
TA010810,62
TA010811,62
TA010812,62
TA010813,62
TA010814,62
TA010815,62
TA010816,62
TA010817,62
TA010818,62
TA010819,62
TA011810,62
TA011811,62
TA011812,62
TA011813,62
TA011814,62
TA011815,62
TA011816,62
TA011817,62
TA011818,62
TA011819,62
TA012810,61+62
TA012811,62
TA012812,62
TA012813,62
TA012814,62
TA012815,62
TA012816,62
TA012817,62
TA012818,62
TA012819,62
TA013810,62
TA013811,62
TA013812,62
TA013813,62
TA013814,62
TA013815,62
TA013816,62
TA013817,62
TA013818,62
TA013819,62
TA014810,62
TA014811,62
TA014812,62
TA014813,62
TA014814,62
TA014815,62
TA014816,62
TA014817,62
TA014818,62
TA014819,62
TA015810,61+62
TA015811,62
TA015812,62
TA015813,62
TA015814,62
TA015815,62
TA015816,62
TA015817,62
TA015818,62
TA015819,62
TA016810,61+62
TA016811,61+62
TA016812,62
TA016813,62
TA016814,62
TA016815,62
TA016816,62
TA016817,62
TA016818,62
TA016819,62
TA017811,61+62
TA017812,62
TA017813,62
TA017814,62
TA017815,62
TA017816,62
TA017817,62
TA017818,62
TA017819,62
TA018810,61+62
TA018811,61+62
TA018812,62
TA018813,62
TA018814,62
TA018815,62
TA018816,62
TA018817,62
TA018818,62
TA018819,62
TA019810,61+62
TA019811,62
TA019812,62
TA019813,62
TA019814,62
TA019815,62
TA019816,62
TA019817,62
TA019818,62
TA019819,62
TA08B,62
TA08C,62
TA08D,62
TA08E,62
TA08F,61+62
TA0280,61+62
TA021809,61+62
TA022809,61+62
TA023808,61+62
TA023809,61+62
TA024808,61+62
TA024809,62
TA025807,61+62
TA025808,61+62
TA025809,62
TA026807,61+62
TA026808,61+62
TA026809,62
TA027808,61+62
TA027809,62
TA028808,61+62
TA028809,62
TA029807,61+62
TA029808,61+62
TA029809,62
TA0281,61+62
TA020810,61+62
TA020811,62
TA020812,62
TA020813,62
TA020814,62
TA020815,62
TA020816,62
TA020817,62
TA020818,62
TA020819,62
TA021810,61+62
TA021811,62
TA021812,62
TA021813,62
TA021814,62
TA021815,62
TA021816,62
TA021817,62
TA021818,62
TA021819,62
TA022810,62
TA022811,62
TA022812,62
TA022813,62
TA022814,62
TA022815,62
TA022816,62
TA022817,62
TA022818,62
TA022819,62
TA023810,62
TA023811,62
TA023812,62
TA023813,62
TA023814,62
TA023815,62
TA023816,62
TA023817,62
TA023818,62
TA023819,62
TA024810,62
TA024811,62
TA024812,62
TA024813,62
TA024814,62
TA024815,62
TA024816,62
TA024817,62
TA024818,62
TA024819,62
TA025810,62
TA025811,62
TA025812,62
TA025813,62
TA025814,62
TA025815,62
TA025816,62
TA025817,62
TA025818,62
TA025819,62
TA026810,62
TA026811,62
TA026812,62
TA026813,62
TA026814,62
TA026815,62
TA026816,62
TA026817,62
TA026818,62
TA026819,62
TA027810,62
TA027811,62
TA027812,62
TA027813,62
TA027814,62
TA027815,62
TA027816,62
TA027817,62
TA027818,62
TA027819,62
TA028810,62
TA028811,62
TA028812,62
TA028813,62
TA028814,62
TA028815,62
TA028816,62
TA028817,62
TA028818,62
TA028819,62
TA029810,62
TA029811,62
TA029812,62
TA029813,62
TA029814,62
TA029815,62
TA029816,62
TA029817,62
TA029818,62
TA029819,62
TA0380,61+62
TA030807,61+62
TA030808,61+62
TA030809,62
TA031808,61+62
TA031809,62
TA032808,61+62
TA032809,61+62
TA033809,61+62
TA0381,61+62
TA030810,62
TA030811,62
TA030812,62
TA030813,62
TA030814,62
TA030815,62
TA030816,62
TA030817,62
TA030818,62
TA030819,62
TA031810,62
TA031811,62
TA031812,62
TA031813,62
TA031814,62
TA031815,62
TA031816,62
TA031817,62
TA031818,62
TA031819,62
TA032810,62
TA032811,62
TA032812,62
TA032813,62
TA032814,62
TA032815,62
TA032816,62
TA032817,62
TA032818,62
TA032819,62
TA033810,61+62
TA033811,61+62
TA033812,62
TA033813,62
TA033814,62
TA033815,62
TA033816,62
TA033817,62
TA033818,62
TA033819,62
TA034810,61+62
TA034811,61+62
TA034812,61+62
TA034813,62
TA034814,62
TA034815,62
TA034816,62
TA034817,62
TA034818,62
TA034819,62
TA035812,61+62
TA035813,61+62
TA035814,62
TA035815,62
TA035816,62
TA035817,62
TA035818,62
TA035819,62
TA036813,61+62
TA036814,61+62
TA036815,62
TA036816,62
TA036817,62
TA036818,62
TA036819,62
TA037814,61+62
TA037815,62
TA037816,62
