NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT20,72+79+80
NT20NE,72+79+80
NT20Y,72+79+80
NT2906,72+80
NT295068,72+80
NT295069,72+80
NT296065,72+80
NT296066,72+80
NT296067,72+80
NT296068,72+80
NT296069,80
NT297065,72+80
NT297066,72+80
NT297067,80
NT297068,80
NT297069,80
NT298066,72+80
NT298067,72+80
NT298068,80
NT298069,80
NT299067,72+80
NT299068,80
NT299069,80
NT2907,72+79+80
NT294072,72+80
NT294073,72+80
NT295070,72+80
NT295071,72+80
NT295072,72+80
NT295073,72+80
NT295074,72+80
NT295075,72+79+80
NT296070,80
NT296071,80
NT296072,80
NT296073,80
NT296074,80
NT296075,79+80
NT296076,79+80
NT297070,80
NT297071,80
NT297072,80
NT297073,80
NT297074,80
NT297075,80
NT297076,79+80
NT298070,80
NT298071,80
NT298072,80
NT298073,80
NT298074,80
NT298075,80
NT298076,79+80
NT299070,80
NT299071,80
NT299072,80
NT299073,80
NT299074,80
NT299075,80
NT299076,79+80
NT299077,79+80
NT30,72+79+80
NT30SW,72+80
NT30NW,72+79+80
NT30SE,80
NT30NE,79+80
NT30B,72+80
NT3102,72+80
NT314029,72+80
NT315028,72+80
NT315029,72+80
NT316028,72+80
NT316029,80
NT317028,72+80
NT317029,80
NT318028,72+80
NT318029,72+80
NT319029,72+80
NT3103,72+80
NT311036,72+80
NT311037,72+80
NT311038,72+80
NT311039,72+80
NT312032,72+80
NT312033,72+80
NT312034,72+80
NT312035,72+80
NT312036,72+80
NT312037,80
NT312038,80
NT312039,80
NT313030,72+80
NT313031,72+80
NT313032,72+80
NT313033,80
NT313034,80
NT313035,80
NT313036,80
NT313037,80
NT313038,80
NT313039,80
NT314030,72+80
NT314031,80
NT314032,80
NT314033,80
NT314034,80
NT314035,80
NT314036,80
NT314037,80
NT314038,80
NT314039,80
NT315030,80
NT315031,80
NT315032,80
NT315033,80
NT315034,80
NT315035,80
NT315036,80
NT315037,80
NT315038,80
NT315039,80
NT316030,80
NT316031,80
NT316032,80
NT316033,80
NT316034,80
NT316035,80
NT316036,80
NT316037,80
NT316038,80
NT316039,80
NT317030,80
NT317031,80
NT317032,80
NT317033,80
NT317034,80
NT317035,80
NT317036,80
NT317037,80
NT317038,80
NT317039,80
NT318030,80
NT318031,80
NT318032,80
NT318033,80
NT318034,80
NT318035,80
NT318036,80
NT318037,80
NT318038,80
NT318039,80
NT319030,80
NT319031,80
NT319032,80
NT319033,80
NT319034,80
NT319035,80
NT319036,80
NT319037,80
NT319038,80
NT319039,80
NT30C,72+80
NT3004,72+80
NT303047,72+80
NT303048,72+80
NT303049,72+80
NT304046,72+80
NT304047,72+80
NT304048,80
NT304049,80
NT305046,72+80
NT305047,80
NT305048,80
NT305049,80
NT306045,72+80
NT306046,72+80
NT306047,80
NT306048,80
NT306049,80
NT307045,72+80
NT307046,80
NT307047,80
NT307048,80
NT307049,80
NT308044,72+80
NT308045,72+80
NT308046,80
NT308047,80
NT308048,80
NT308049,80
NT309044,72+80
NT309045,80
NT309046,80
NT309047,80
NT309048,80
NT309049,80
NT3005,72+80
NT302056,72+80
NT302057,72+80
NT302058,72+80
NT303050,72+80
NT303051,72+80
NT303052,72+80
NT303053,72+80
NT303054,72+80
NT303055,72+80
NT303056,72+80
NT303057,80
NT303058,72+80
NT303059,72+80
NT304050,80
NT304051,80
NT304052,80
NT304053,80
NT304054,80
NT304055,80
NT304056,80
NT304057,80
NT304058,80
NT304059,72+80
NT305050,80
NT305051,80
NT305052,80
NT305053,80
NT305054,80
NT305055,80
NT305056,80
NT305057,80
NT305058,80
NT305059,80
NT306050,80
NT306051,80
NT306052,80
NT306053,80
NT306054,80
NT306055,80
NT306056,80
NT306057,80
NT306058,80
NT306059,80
NT307050,80
NT307051,80
NT307052,80
NT307053,80
NT307054,80
NT307055,80
NT307056,80
NT307057,80
NT307058,80
NT307059,80
NT308050,80
NT308051,80
NT308052,80
NT308053,80
NT308054,80
NT308055,80
NT308056,80
NT308057,80
NT308058,80
NT308059,80
NT309050,80
NT309051,80
NT309052,80
NT309053,80
NT309054,80
NT309055,80
NT309056,80
NT309057,80
NT309058,80
NT309059,80
NT3104,72+80
NT310043,72+80
NT310044,72+80
NT310045,80
NT310046,80
NT310047,80
NT310048,80
NT310049,80
NT311040,72+80
NT311041,72+80
NT311042,72+80
NT311043,72+80
