NU,0+67+68
NU125431,68
NU125432,68
NU125433,68
NU125434,68
NU125435,68
NU125436,68
NU125437,68
NU125438,68
NU125439,68
NU126430,68
NU126431,68
NU126432,68
NU126433,68
NU126434,68
NU126435,68
NU126436,68
NU126437,68
NU126438,68
NU126439,0+68
NU127430,68
NU127431,68
NU127432,68
NU127433,68
NU127434,68
NU127435,68
NU127436,68
NU127437,68
NU127438,0+68
NU127439,0+68
NU128430,68
NU128431,68
NU128432,68
NU128433,68
NU128434,68
NU128435,68
NU128436,68
NU128437,68
NU128438,0+68
NU128439,0+68
NU129430,68
NU129431,68
NU129432,68
NU129433,68
NU129434,68
NU129435,68
NU129436,68
NU129437,68
NU129438,0+68
NU129439,0+68
NU1342,0+68
NU130420,68
NU130421,68
NU130422,68
NU130423,68
NU130424,68
NU130425,68
NU130426,68
NU130427,68
NU130428,68
NU130429,68
NU131420,68
NU131421,68
NU131422,68
NU131423,68
NU131424,68
NU131425,68
NU131426,68
NU131427,68
NU131428,68
NU131429,68
NU132420,68
NU132421,68
NU132422,68
NU132423,68
NU132424,68
NU132425,68
NU132426,68
NU132427,68
NU132428,68
NU132429,68
NU133420,68
NU133421,68
NU133422,68
NU133423,68
NU133424,68
NU133425,68
NU133426,68
NU133427,68
NU133428,68
NU133429,68
NU134420,68
NU134421,68
NU134422,68
NU134423,68
NU134424,68
NU134425,68
NU134426,68
NU134427,68
NU134428,68
NU134429,68
NU135420,68
NU135421,68
NU135422,68
NU135423,68
NU135424,68
NU135425,68
NU135426,68
NU135427,68
NU135428,68
NU135429,68
NU136420,68
NU136421,68
NU136422,68
NU136423,68
NU136424,68
NU136425,68
NU136426,68
NU136427,68
NU136428,68
NU136429,68
NU137420,68
NU137421,68
NU137422,68
NU137423,68
NU137424,68
NU137425,68
NU137426,68
NU137427,68
NU137428,68
NU137429,68
NU138420,68
NU138421,68
NU138422,68
NU138423,68
NU138424,68
NU138425,0+68
NU138426,0+68
NU138427,68
NU138428,68
NU138429,68
NU139420,68
NU139421,68
NU139422,68
NU139423,68
NU139424,0+68
NU139425,0+68
NU139426,0+68
NU139427,0+68
NU139428,0+68
NU139429,68
NU1343,0+68
NU130430,68
NU130431,68
NU130432,68
NU130433,68
NU130434,68
NU130435,68
NU130436,68
NU130437,68
NU130438,0+68
NU130439,0+68
NU131430,68
NU131431,68
NU131432,68
NU131433,68
NU131434,68
NU131435,68
NU131436,68
NU131437,68
NU131438,68
NU131439,0+68
NU132430,68
NU132431,68
NU132432,68
NU132433,68
NU132434,68
NU132435,68
NU132436,0+68
NU132437,0+68
NU132438,0+68
NU132439,0+68
NU133430,68
NU133431,68
NU133432,68
NU133433,68
NU133434,68
NU133435,68
NU133436,0+68
NU133437,0+68
NU134430,68
NU134431,68
NU134432,68
NU134433,68
NU134434,68
NU134435,0+68
NU134436,0+68
NU134437,0+68
NU134438,0+68
NU135430,68
NU135431,68
NU135432,68
NU135433,68
NU135434,68
NU135435,0+68
NU135436,0+68
NU136430,68
NU136431,68
NU136432,68
NU136433,68
NU136434,68
NU136435,0+68
NU136436,0+68
NU137430,68
NU137431,68
NU137432,68
NU137433,68
NU137434,68
NU137435,68
NU137436,0+68
NU137437,0+68
NU138430,68
NU138431,68
NU138432,68
NU138433,68
NU138434,68
NU138435,68
NU138436,68
NU138437,0+68
NU139430,68
NU139431,68
NU139432,68
NU139433,68
NU139434,68
NU139435,68
NU139436,68
NU139437,0+68
NU14H,0+68
NU1244,0+68
NU121440,0+68
NU124440,0+68
NU125440,0+68
NU126440,0+68
NU126441,0+68
NU127440,0+68
NU127441,0+68
NU128440,0+68
NU128441,0+68
NU128442,0+68
NU1344,0+68
NU131440,0+68
NU132440,0+68
NU14K,0+68
NU1441,0+68
NU140414,0+68
NU140415,0+68
NU140416,68
NU140417,68
NU140418,68
NU140419,0+68
NU141414,0+68
NU141415,0+68
NU141416,0+68
NU141417,0+68
NU141418,0+68
NU141419,0+68
NU14L,0+68
NU1442,0+68
NU140420,0+68
NU140421,0+68
NU140422,0+68
NU140423,0+68
NU140424,0+68
NU140427,0+68
NU140428,0+68
NU140429,0+68
NU141421,0+68
NU141422,0+68
NU141423,0+68
NU1443,0+68
NU140430,0+68
NU140431,0+68
NU140432,0+68
NU140433,0+68
NU140434,0+68
NU140435,68
NU140436,0+68
NU140437,0+68
NU141434,0+68
NU141435,0+68
NU141436,0+68
NU20,0+67+68
NU20SW,67+68
NU20NW,0+67+68
NU20SE,0+67+68
NU20NE,0+67+68
NU20A,67+68
NU2000,67+68
NU200007,67+68
NU200008,68
NU200009,68
NU201007,67+68
NU201008,68
NU201009,68
NU202007,67+68
NU202008,67+68
NU202009,67+68
NU203008,67+68
NU203009,67+68
NU2001,67+68
NU200010,68
NU200011,67+68
NU200012,67+68
NU200019,67+68
NU201010,67+68
NU201011,67+68
NU201019,67+68
NU202010,67+68
NU202019,67+68
NU203019,67+68
NU204019,67+68
NU205019,67+68
NU20B,67+68
NU2002,67+68
NU200020,68
NU200021,68
NU200022,68
NU200023,68
NU200024,68
NU200025,68
NU200026,68
NU200027,68
NU200028,68
NU200029,68
NU201020,68
NU201021,68
NU201022,68
NU201023,68
NU201024,68
NU201025,68
NU201026,68
NU201027,68
NU201028,68
NU201029,68
NU202020,68
NU202021,68
NU202022,68
NU202023,68
NU202024,68
NU202025,68
NU202026,68
NU202027,67+68
NU202028,67+68
NU202029,68
NU203020,68
NU203021,68
NU203022,68
NU203023,68
NU203024,68
NU203025,68
NU203026,67+68
NU203027,67+68
NU203028,67+68
NU203029,67+68
NU204020,68
NU204021,68
NU204022,68
NU204023,68
NU204024,68
NU204025,67+68
NU204026,67+68
NU204029,67+68
NU205020,67+68
NU205021,68
NU205022,68
NU205023,67+68
NU205024,67+68
NU205025,67+68
NU205029,67+68
NU206020,67+68
NU206021,67+68
NU206022,67+68
NU206023,67+68
NU206029,67+68
NU2003,67+68
NU200030,68
NU200031,68
NU200032,68
NU200033,68
NU200034,68
NU200035,68
NU200036,68
NU200037,68
NU200038,68
NU200039,68
NU201030,68
NU201031,68
NU201032,68
NU201033,68
NU201034,68
NU201035,68
NU201036,68
NU201037,68
NU201038,68
NU201039,68
NU202030,68
NU202031,68
NU202032,68
NU202033,68
NU202034,68
NU202035,68
NU202036,68
NU202037,68
NU202038,68
NU202039,68
NU203030,68
NU203031,68
NU203032,68
NU203033,68
NU203034,68
NU203035,68
NU203036,68
NU203037,68
NU203038,68
NU203039,68
NU204030,68
NU204031,68
NU204032,68
NU204033,68
NU204034,68
NU204035,68
NU204036,68
NU204037,68
NU204038,68
NU204039,68
NU205030,68
NU205031,68
NU205032,68
NU205033,68
NU205034,68
NU205035,68
NU205036,68
NU205037,68
NU205038,68
NU205039,68
NU206030,67+68
NU206031,68
NU206032,68
NU206033,67+68
NU206034,67+68
NU206035,67+68
NU206036,68
NU206037,68
NU206038,68
NU206039,68
NU207030,67+68
NU207031,68
NU207032,67+68
NU207033,67+68
NU207035,67+68
NU207036,67+68
NU207037,67+68
NU207038,68
NU207039,68
NU208030,67+68
NU208031,68
NU208032,67+68
NU208036,67+68
NU208037,67+68
NU208038,68
NU208039,68
NU209030,67+68
NU209031,67+68
NU209032,67+68
NU209036,67+68
NU209037,68
NU209038,68
NU209039,68
NU2102,67+68
NU211028,67+68
NU211029,67+68
NU212027,67+68
NU212028,67+68
NU212029,68
NU213026,67+68
NU213027,67+68
NU213028,68
NU213029,68
NU214027,67+68
NU214028,68
NU214029,68
NU215027,67+68
NU215028,68
NU215029,68
NU216027,67+68
NU216028,67+68
NU216029,67+68
NU2103,67+68
NU210036,67+68
NU210037,68
NU210038,68
NU210039,68
NU211030,67+68
NU211031,67+68
NU211032,67+68
NU211033,67+68
NU211034,67+68
NU211035,67+68
NU211036,67+68
NU211037,68
NU211038,68
NU211039,68
NU212030,68
NU212031,68
NU212032,68
NU212033,68
NU212034,68
NU212035,68
NU212036,68
NU212037,68
NU212038,68
NU212039,68
NU213030,68
NU213031,68
NU213032,68
NU213033,68
NU213034,68
NU213035,68
NU213036,68
NU213037,68
NU213038,68
NU213039,68
NU214030,68
NU214031,68
NU214032,68
NU214033,68
NU214034,68
NU214035,68
NU214036,68
NU214037,68
NU214038,68
NU214039,68
NU215030,68
NU215031,68
NU215032,68
NU215033,68
NU215034,68
NU215035,68
NU215036,68
NU215037,68
NU215038,68
NU215039,68
NU216030,67+68
NU216031,68
NU216032,67+68
NU216033,67+68
NU216034,67+68
NU216035,67+68
NU216036,68
NU216037,68
NU216038,68
NU216039,68
NU217030,67+68
NU217031,67+68
NU217032,67+68
NU217035,67+68
NU217036,67+68
NU217037,68
NU217038,68
NU217039,68
NU218036,67+68
NU218037,68
NU218038,68
NU218039,68
NU219036,67+68
NU219037,67+68
NU219038,68
NU219039,68
NU20C,68
NU20D,68
NU20E,68
NU20G,67+68
NU2203,67+68
NU220037,67+68
NU220038,68
NU220039,68
NU221037,67+68
NU221038,67+68
NU221039,68
NU222038,67+68
NU222039,68
NU223038,67+68
NU223039,67+68
NU224039,67+68
NU20H,67+68
NU2204,67+68
NU220040,68
NU220041,68
NU220042,68
NU220043,68
NU220044,68
NU220045,68
NU220046,68
NU220047,68
NU220048,68
NU220049,68
NU221040,68
NU221041,68
NU221042,68
NU221043,68
NU221044,68
NU221045,68
NU221046,68
NU221047,68
NU221048,68
NU221049,68
NU222040,68
NU222041,68
NU222042,68
NU222043,68
NU222044,68
NU222045,68
NU222046,68
NU222047,68
NU222048,68
NU222049,68
NU223040,68
NU223041,68
NU223042,68
NU223043,68
NU223044,68
NU223045,68
NU223046,68
NU223047,68
NU223048,68
NU223049,68
NU224040,67+68
NU224041,68
NU224042,68
NU224043,68
NU224044,68
NU224045,68
NU224046,68
NU224047,68
NU224048,68
NU224049,68
NU225040,67+68
NU225041,67+68
NU225042,67+68
NU225043,68
NU225044,68
NU225045,68
NU225046,68
NU225047,68
NU225048,68
NU225049,68
NU226042,67+68
NU226043,67+68
NU226044,68
NU226045,68
NU226046,68
NU226047,68
NU226048,68
NU226049,68
NU227043,67+68
NU227044,68
NU227045,68
NU227046,68
NU227047,68
NU227048,68
NU227049,68
NU228043,67+68
NU228044,68
NU228045,68
NU228046,68
NU228047,68
NU228048,68
NU228049,68
NU229041,67+68
NU229042,67+68
NU229043,67+68
NU229044,68
NU229045,67+68
NU229046,67+68
NU229047,68
NU229048,68
NU229049,68
NU2205,68
NU2304,67+68
NU230041,67+68
NU230042,68
NU230043,67+68
NU230044,67+68
NU230045,67+68
NU230046,67+68
NU230047,68
NU230048,68
NU230049,68
NU231041,67+68
NU231042,67+68
NU231043,67+68
NU231044,67+68
NU231045,67+68
NU231046,67+68
NU231047,68
NU231048,68
NU231049,68
NU232044,67+68
NU232045,68
NU232046,68
NU232047,68
NU232048,68
NU232049,68
NU233044,67+68
NU233045,68
NU233046,68
NU233047,68
NU233048,68
NU233049,68
NU234044,67+68
NU234045,68
NU234046,68
NU234047,68
NU234048,68
NU234049,67+68
NU235044,67+68
NU235045,67+68
NU235046,68
NU235047,68
NU235048,68
NU235049,67+68
NU236045,67+68
NU236046,67+68
NU236047,68
NU236048,68
NU236049,67+68
NU237046,67+68
NU237047,67+68
NU237048,67+68
NU237049,67+68
NU2305,67+68
NU230050,68
NU230051,68
NU230052,68
NU230053,68
NU230054,68
NU230055,68
NU230056,68
NU230057,68
NU230058,68
NU230059,68
NU231050,68
NU231051,68
NU231052,68
NU231053,68
NU231054,67+68
NU231055,67+68
NU231056,67+68
NU231057,67+68
NU231058,68
NU231059,68
NU232050,67+68
NU232051,67+68
NU232052,67+68
NU232053,68
NU232054,67+68
NU232057,67+68
NU232058,67+68
NU232059,67+68
NU233050,67+68
NU233052,67+68
NU233053,67+68
NU233054,67+68
NU233059,67+68
NU234050,67+68
NU234053,67+68
NU234054,67+68
NU20I,67+68
NU2206,68
NU2207,68
NU2306,67+68
NU230060,68
NU230061,68
NU230062,68
NU230063,68
NU230064,68
NU230065,68
NU230066,68
NU230067,68
NU230068,68
NU230069,68
NU231060,68
NU231061,68
NU231062,68
NU231063,68
NU231064,68
NU231065,68
NU231066,68
NU231067,68
NU231068,68
NU231069,68
NU232060,68
NU232061,68
NU232062,68
NU232063,68
NU232064,68
NU232065,68
NU232066,68
NU232067,68
NU232068,68
NU232069,68
NU233060,67+68
NU233061,67+68
NU233062,67+68
NU233063,68
NU233064,68
NU233065,68
NU233066,68
NU233067,68
NU233068,68
NU233069,68
NU234062,67+68
NU234063,68
NU234064,68
NU234065,68
NU234066,68
NU234067,68
NU234068,68
NU234069,68
NU235061,67+68
NU235062,67+68
NU235063,68
NU235064,68
NU235065,68
NU235066,68
NU235067,68
NU235068,68
NU235069,68
NU236060,67+68
NU236061,67+68
NU236062,68
NU236063,68
NU236064,68
NU236065,68
NU236066,68
NU236067,68
NU236068,68
NU236069,68
NU237060,67+68
NU237061,68
NU237062,68
NU237063,68
NU237064,68
NU237065,68
NU237066,68
NU237067,68
NU237068,68
NU237069,68
NU238060,67+68
NU238061,68
NU238062,68
NU238063,68
NU238064,68
NU238065,68
NU238066,68
NU238067,68
NU238068,68
NU238069,68
NU239060,67+68
NU239061,68
NU239062,68
NU239063,68
NU239064,68
NU239065,68
NU239066,68
NU239067,68
NU239068,68
NU239069,68
NU2307,68
NU20J,68
NU20M,0+67+68
NU2405,0+67+68
NU240059,67+68
NU241057,67+68
NU241058,67+68
NU241059,67+68
NU242056,67+68
NU242057,67+68
NU242058,68
NU242059,68
NU243056,67+68
NU243057,68
NU243058,68
NU243059,68
NU244056,67+68
NU244057,68
NU244058,68
NU244059,68
NU245056,67+68
NU245057,67+68
NU245058,68
NU245059,67+68
NU246057,67+68
NU246058,67+68
NU246059,67+68
NU249056,0+67+68
NU249057,67+68
NU249058,67+68
NU249059,67+68
NU2505,0+67+68
NU250056,0+67+68
NU250057,68
NU250058,68
NU250059,68
NU251055,0+67+68
NU251056,0+68
NU251057,68
NU251058,68
NU251059,68
NU252055,0+67+68
NU252056,68
NU252057,68
NU252058,68
NU252059,68
NU253054,0+67+68
NU253055,0+68
NU253056,68
NU253057,68
NU253058,68
NU253059,68
NU254054,0+67+68
NU254055,68
NU254056,68
NU254057,68
NU254058,68
NU254059,68
NU255053,0+67+68
NU255054,0+68
NU255055,68
NU255056,68
NU255057,68
NU255058,68
NU255059,68
NU256052,0+67+68
NU256053,0+67+68
NU256054,68
NU256055,68
NU256056,68
NU256057,68
NU256058,68
NU256059,68
NU257052,0+67+68
NU257053,0+68
NU257054,68
NU257055,68
NU257056,68
NU257057,68
NU257058,68
NU257059,68
NU258051,0+67+68
NU258052,0+68
NU258053,68
NU258054,68
NU258055,68
NU258056,68
NU258057,68
NU258058,68
NU258059,68
NU259050,0+67+68
NU259051,0+67+68
NU259052,0+68
NU259053,0+68
NU259054,0+68
NU259055,68
NU259056,68
NU259057,68
NU259058,68
NU259059,68
NU20N,0+67+68
NU2406,67+68
NU240060,67+68
NU240061,68
NU240062,68
NU240063,68
NU240064,68
NU240065,68
NU240066,68
NU240067,68
NU240068,68
NU240069,68
NU241060,68
NU241061,68
NU241062,68
NU241063,68
NU241064,68
NU241065,68
NU241066,68
NU241067,68
NU241068,68
NU241069,68
NU242060,68
NU242061,68
NU242062,68
NU242063,68
NU242064,68
NU242065,68
NU242066,68
NU242067,68
NU242068,68
NU242069,68
NU243060,68
NU243061,68
NU243062,68
NU243063,68
NU243064,68
NU243065,68
NU243066,68
NU243067,68
NU243068,68
NU243069,68
NU244060,68
NU244061,68
NU244062,68
NU244063,68
NU244064,68
NU244065,68
NU244066,68
NU244067,68
NU244068,68
NU244069,68
NU245060,67+68
NU245061,67+68
NU245062,67+68
NU245063,68
NU245064,68
NU245065,68
NU245066,68
NU245067,68
NU245068,68
NU245069,68
NU246062,67+68
NU246063,68
NU246064,68
NU246065,68
NU246066,68
NU246067,68
NU246068,68
NU246069,68
NU247062,67+68
NU247063,68
NU247064,68
NU247065,68
NU247066,68
NU247067,68
NU247068,68
NU247069,68
NU248062,67+68
NU248063,68
NU248064,68
NU248065,68
NU248066,68
NU248067,68
NU248068,68
NU248069,68
NU249060,67+68
NU249061,67+68
NU249062,67+68
NU249063,68
NU249064,68
NU249065,68
NU249066,68
NU249067,68
NU249068,68
NU249069,68
NU2407,68
NU2506,0+68
NU250060,68
NU250061,68
NU250062,68
NU250063,68
NU250064,68
NU250065,68
NU250066,68
NU250067,68
NU250068,68
NU250069,68
NU251060,68
NU251061,68
NU251062,68
NU251063,68
NU251064,68
NU251065,68
NU251066,68
NU251067,68
NU251068,68
NU251069,68
NU252060,68
NU252061,68
NU252062,68
NU252063,68
NU252064,68
NU252065,68
NU252066,68
NU252067,68
NU252068,68
NU252069,68
NU253060,68
NU253061,68
NU253062,68
NU253063,68
NU253064,68
NU253065,68
NU253066,68
NU253067,68
NU253068,68
NU253069,68
NU254060,68
NU254061,68
NU254062,68
NU254063,68
NU254064,68
NU254065,68
NU254066,68
NU254067,68
NU254068,68
NU254069,68
NU255060,68
NU255061,68
NU255062,68
NU255063,68
NU255064,68
NU255065,68
NU255066,68
NU255067,68
NU255068,68
NU255069,68
NU256060,68
NU256061,68
NU256062,68
NU256063,68
NU256064,68
NU256065,68
NU256066,68
NU256067,68
NU256068,68
NU256069,68
NU257060,68
NU257061,68
NU257062,68
NU257063,68
NU257064,68
NU257065,68
NU257066,68
NU257067,68
NU257068,68
NU257069,0+68
NU258060,68
NU258061,68
NU258062,68
NU258063,68
NU258064,68
NU258065,68
NU258066,68
NU258067,0+68
NU258068,0+68
NU258069,0+68
NU259060,68
NU259061,68
NU259062,68
NU259063,68
NU259064,68
NU259065,0+68
NU259066,0+68
NU2507,0+68
NU250070,68
NU250071,68
NU250072,68
NU250073,68
NU250074,68
NU250075,68
NU250076,68
NU250077,68
NU250078,68
NU250079,68
NU251070,68
NU251071,68
NU251072,68
NU251073,68
NU251074,68
NU251075,68
NU251076,68
NU251077,68
NU251078,68
NU251079,68
NU252070,68
NU252071,68
NU252072,68
NU252073,68
NU252074,68
NU252075,68
NU252076,68
NU252077,68
NU252078,68
NU252079,68
NU253070,68
NU253071,68
NU253072,68
NU253073,68
NU253074,68
NU253075,68
NU253076,68
NU253077,68
NU253078,68
NU253079,68
NU254070,68
NU254071,68
NU254072,68
NU254073,68
NU254074,68
NU254075,68
NU254076,68
NU254077,0+68
NU254078,0+68
NU254079,0+68
NU255070,68
NU255071,68
NU255072,68
NU255073,0+68
NU255074,0+68
NU255075,0+68
NU255076,0+68
NU255077,0+68
NU255078,0+68
NU256070,68
NU256071,0+68
NU256072,0+68
NU256073,0+68
NU257070,0+68
NU257071,0+68
NU20P,0+68
NU2408,68
NU2409,68
NU2508,0+68
NU250080,68
NU250081,68
NU250082,68
NU250083,68
NU250084,68
NU250085,68
NU250086,68
NU250087,68
NU250088,68
NU250089,68
NU251080,68
NU251081,68
NU251082,68
NU251083,68
NU251084,68
NU251085,68
NU251086,68
NU251087,68
NU251088,68
NU251089,68
NU252080,68
NU252081,68
NU252082,68
NU252083,68
NU252084,68
NU252085,0+68
NU252086,0+68
NU252087,0+68
NU252088,0+68
NU252089,0+68
NU253080,68
NU253081,0+68
NU253082,0+68
NU253083,0+68
NU253084,0+68
NU253085,0+68
NU254080,0+68
NU254081,0+68
NU255080,0+68
NU2509,0+68
NU250090,68
NU250091,68
NU250092,68
NU250093,68
NU250094,68
NU250095,68
NU250096,68
NU250097,68
NU250098,68
NU250099,68
NU251090,0+68
NU251091,0+68
NU251092,0+68
NU251093,0+68
NU251094,0+68
NU251095,68
NU251096,0+68
NU251097,68
NU251098,68
NU251099,0+68
NU252090,0+68
NU252091,0+68
NU252092,0+68
NU252094,0+68
NU252095,0+68
NU252096,0+68
NU252097,0+68
NU252098,0+68
NU252099,0+68
NU20S,0+67+68
NU2604,0+67+68
NU261049,0+67+68
NU262049,0+67+68
NU263049,0+67+68
NU264049,0+68
NU265048,0+67+68
NU265049,0+68
NU266048,0+67+68
NU266049,0+68
NU267048,0+68
NU267049,0+68
NU268049,0+68
NU269049,0+68
NU2605,0+67+68
NU260050,0+67+68
NU260051,68
NU260052,0+68
NU260053,0+68
NU260054,68
NU260055,68
NU260056,68
NU260057,68
NU260058,68
NU260059,68
NU261050,0+68
NU261051,0+68
NU261052,0+68
NU261053,68
NU261054,68
NU261055,68
NU261056,68
NU261057,68
NU261058,68
NU261059,68
NU262050,68
NU262051,0+68
NU262052,0+68
NU262053,68
NU262054,68
NU262055,68
NU262056,68
NU262057,68
NU262058,68
NU262059,0+68
NU263050,0+68
NU263051,0+68
NU263052,68
NU263053,68
NU263054,68
NU263055,68
NU263056,68
NU263057,68
NU263058,0+68
NU263059,0+68
NU264050,0+68
NU264051,0+68
NU264052,68
NU264053,68
NU264054,68
NU264055,68
NU264056,0+68
NU264057,0+68
NU264058,0+68
NU265050,0+68
NU265051,68
NU265052,68
NU265053,68
NU265054,68
NU265055,0+68
NU265056,0+68
NU266050,68
NU266051,68
NU266052,68
NU266053,0+68
NU266054,0+68
NU266055,0+68
NU267050,68
NU267051,68
NU267052,0+68
NU267053,0+68
NU268050,68
NU268051,0+68
NU268052,0+68
NU269050,68
NU269051,0+68
NU2704,0+67+68
NU270049,0+67+68
NU2705,0+67+68
NU270050,0+68
NU270051,0+68
NU271051,0+68
NU272051,0+68
NU273051,0+68
NU20T,0+68
NU2606,0+68
NU260060,68
NU260061,68
NU260062,68
NU260063,0+68
NU260064,0+68
NU261060,68
NU261061,0+68
NU261062,0+68
NU261063,0+68
NU262060,0+68
NU262061,0+68
NU21,0+68
NU21SW,0+68
NU21NW,68
NU21SE,0+68
NU21NE,0+68
NU21A,68
NU21B,68
NU21C,68
NU21D,68
NU21E,68
NU21F,68
NU21G,68
NU21H,68
NU21I,68
NU21J,68
NU21K,0+68
NU2410,0+68
NU240100,68
NU240101,68
NU240102,68
NU240103,68
NU240104,0+68
NU240105,0+68
NU240106,0+68
NU240107,68
NU240108,68
NU240109,68
NU241100,68
NU241101,68
NU241102,68
NU241103,0+68
NU241104,0+68
NU241105,0+68
NU241106,0+68
NU241107,68
NU241108,68
NU241109,68
NU242100,68
NU242101,68
NU242102,68
NU242103,0+68
NU242104,0+68
NU242105,0+68
NU242106,0+68
NU242107,68
NU242108,68
NU242109,0+68
NU243100,68
NU243101,0+68
NU243102,0+68
NU243103,0+68
NU243104,68
NU243105,68
NU243106,0+68
NU243107,0+68
NU243108,0+68
NU243109,0+68
NU244100,68
NU244101,0+68
NU244102,68
NU244103,68
NU244104,68
NU244105,68
NU244106,68
NU244107,68
NU244108,68
NU244109,68
NU245100,68
NU245101,0+68
NU245102,68
NU245103,68
NU245104,68
NU245105,68
NU245106,68
NU245107,68
NU245108,68
NU245109,68
NU246100,68
NU246101,0+68
NU246102,68
NU246103,68
NU246104,68
NU246105,68
NU246106,68
NU246107,68
NU246108,68
NU246109,68
NU247100,68
NU247101,0+68
NU247102,0+68
NU247103,68
NU247104,68
NU247105,68
NU247106,68
NU247107,68
NU247108,68
NU247109,68
NU248100,68
NU248101,0+68
NU248102,0+68
NU248103,68
NU248104,68
NU248105,68
NU248106,68
NU248107,68
NU248108,68
NU248109,68
NU249100,68
NU249101,68
NU249102,0+68
NU249103,68
NU249104,68
NU249105,68
NU249106,68
NU249107,68
NU249108,68
NU249109,68
NU2411,0+68
NU240110,68
NU240111,68
NU240112,68
NU240113,68
NU240114,68
NU240115,68
NU240116,68
NU240117,68
NU240118,68
NU240119,68
NU241110,68
NU241111,0+68
NU241112,0+68
NU241113,68
NU241114,68
NU241115,68
NU241116,68
NU241117,68
NU241118,68
NU241119,68
NU242110,0+68
NU242111,0+68
NU242112,0+68
NU242113,0+68
NU242114,68
NU242115,68
NU242116,68
NU242117,68
NU242118,68
NU242119,68
NU243110,0+68
NU243111,68
NU243112,68
NU243113,0+68
NU243114,68
NU243115,68
NU243116,68
NU243117,68
NU243118,68
NU243119,68
NU244110,68
NU244111,68
NU244112,0+68
NU244113,0+68
NU244114,68
NU244115,68
NU244116,68
NU244117,68
NU244118,68
NU244119,68
NU245110,68
NU245111,68
NU245112,0+68
NU245113,0+68
NU245114,68
NU245115,68
NU245116,68
NU245117,68
NU245118,68
NU245119,68
NU246110,68
NU246111,68
NU246112,0+68
NU246113,0+68
NU246114,68
NU246115,68
NU246116,68
NU246117,68
NU246118,68
NU246119,68
NU247110,68
NU247111,68
NU247112,0+68
NU247113,68
NU247114,68
NU247115,68
NU247116,68
NU247117,68
NU247118,68
NU247119,68
NU248110,68
NU248111,68
NU248112,0+68
NU248113,68
NU248114,68
NU248115,68
NU248116,68
NU248117,68
NU248118,68
NU248119,68
NU249110,68
NU249111,68
NU249112,68
NU249113,68
NU249114,68
NU249115,68
NU249116,68
NU249117,68
NU249118,68
NU249119,68
NU2510,0+68
NU250100,68
NU250101,68
NU250102,0+68
NU250103,0+68
NU250104,68
NU250105,68
NU250106,68
NU250107,68
NU250108,68
NU250109,68
NU251100,0+68
NU251101,68
NU251102,68
NU251103,0+68
NU251104,68
NU251105,68
NU251106,68
NU251107,68
NU251108,68
NU251109,68
NU252100,0+68
NU252101,0+68
NU252102,0+68
NU252103,0+68
NU252104,0+68
NU252105,68
NU252106,68
NU252107,68
NU252108,68
NU252109,68
NU253103,0+68
NU253104,0+68
NU253105,0+68
NU253106,0+68
NU253107,68
NU253108,68
NU253109,68
NU254106,0+68
NU254107,0+68
NU254108,0+68
NU254109,68
NU255108,0+68
NU255109,68
NU256107,0+68
NU256108,0+68
NU256109,68
NU257107,0+68
NU257108,0+68
NU257109,68
NU258108,0+68
NU258109,0+68
NU259109,0+68
NU2511,0+68
NU250110,68
NU250111,68
NU250112,68
NU250113,68
NU250114,68
NU250115,68
NU250116,68
NU250117,68
NU250118,68
NU250119,68
NU251110,68
NU251111,68
NU251112,68
NU251113,68
NU251114,68
NU251115,68
NU251116,68
NU251117,68
NU251118,68
NU251119,68
NU252110,68
NU252111,68
NU252112,68
NU252113,68
NU252114,68
NU252115,68
NU252116,68
NU252117,68
NU252118,68
NU252119,68
NU253110,68
NU253111,68
NU253112,68
NU253113,68
NU253114,68
NU253115,68
NU253116,68
NU253117,68
NU253118,68
NU253119,68
NU254110,68
NU254111,68
NU254112,68
NU254113,68
NU254114,68
NU254115,68
NU254116,68
NU254117,68
NU254118,68
NU254119,68
NU255110,68
NU255111,68
NU255112,68
NU255113,68
NU255114,68
NU255115,68
NU255116,68
NU255117,68
NU255118,68
NU255119,68
NU256110,68
NU256111,68
NU256112,68
NU256113,68
NU256114,68
NU256115,68
NU256116,68
NU256117,68
NU256118,68
NU256119,68
NU257110,68
NU257111,68
NU257112,68
NU257113,68
NU257114,68
NU257115,68
NU257116,68
NU257117,68
NU257118,68
NU257119,68
NU258110,68
NU258111,68
NU258112,68
NU258113,68
NU258114,68
NU258115,68
NU258116,68
NU258117,68
NU258118,68
NU258119,68
NU259110,0+68
NU259111,0+68
NU259112,68
NU259113,68
NU259114,68
NU259115,68
NU259116,0+68
NU259117,0+68
NU259118,0+68
NU259119,0+68
NU21L,0+68
NU2412,68
NU2413,68
NU2512,0+68
NU250120,68
NU250121,68
NU250122,68
NU250123,68
NU250124,68
NU250125,68
NU250126,68
NU250127,68
NU250128,68
NU250129,68
NU251120,68
NU251121,68
NU251122,68
NU251123,68
NU251124,68
NU251125,68
NU251126,68
NU251127,68
NU251128,68
NU251129,68
NU252120,68
NU252121,68
NU252122,68
NU252123,68
NU252124,68
NU252125,68
NU252126,68
NU252127,68
NU252128,68
NU252129,68
NU253120,68
NU253121,68
NU253122,68
NU253123,68
NU253124,68
NU253125,68
NU253126,68
NU253127,68
NU253128,68
NU253129,68
NU254120,68
NU254121,68
NU254122,68
NU254123,68
NU254124,68
