NU,0+67+68
NU041014,67+68
NU041015,68
NU041016,68
NU041017,68
NU041018,68
NU041019,68
NU042011,67+68
NU042012,67+68
NU042013,68
NU042014,68
NU042015,68
NU042016,68
NU042017,68
NU042018,68
NU042019,68
NU043010,67+68
NU043011,67+68
NU043012,68
NU043013,68
NU043014,68
NU043015,68
NU043016,68
NU043017,68
NU043018,68
NU043019,68
NU044010,67+68
NU044011,68
NU044012,68
NU044013,68
NU044014,68
NU044015,68
NU044016,68
NU044017,68
NU044018,68
NU044019,68
NU045010,67+68
NU045011,67+68
NU045012,68
NU045013,68
NU045014,68
NU045015,68
NU045016,68
NU045017,68
NU045018,68
NU045019,68
NU046011,67+68
NU046012,67+68
NU046013,67+68
NU046014,67+68
NU046015,68
NU046016,68
NU046017,68
NU046018,68
NU046019,68
NU047014,67+68
NU047015,68
NU047016,68
NU047017,68
NU047018,68
NU047019,68
NU048014,67+68
NU048015,68
NU048016,68
NU048017,68
NU048018,68
NU048019,68
NU049014,67+68
NU049015,68
NU049016,68
NU049017,68
NU049018,68
NU049019,68
NU0501,67+68
NU050014,67+68
NU050015,67+68
NU050016,68
NU050017,68
NU050018,68
NU050019,68
NU051015,67+68
NU051016,68
NU051017,68
NU051018,68
NU051019,68
NU052015,67+68
NU052016,68
NU052017,68
NU052018,68
NU052019,68
NU053015,67+68
NU053016,68
NU053017,68
NU053018,68
NU053019,68
NU054015,67+68
NU054016,68
NU054017,68
NU054018,68
NU054019,68
NU055015,67+68
NU055016,68
NU055017,68
NU055018,68
NU055019,68
NU056015,67+68
NU056016,68
NU056017,68
NU056018,68
NU056019,68
NU057015,67+68
NU057016,68
NU057017,68
NU057018,68
NU057019,68
NU058015,67+68
NU058016,68
NU058017,68
NU058018,68
NU058019,68
NU059015,67+68
NU059016,67+68
NU059017,68
NU059018,68
NU059019,68
NU00L,68
NU00M,68
NU00N,68
NU00P,68
NU00Q,67+68
NU0601,67+68
NU060016,67+68
NU060017,67+68
NU060018,68
NU060019,68
NU061017,67+68
NU061018,68
NU061019,68
NU062017,67+68
NU062018,68
NU062019,68
NU063017,67+68
NU063018,68
NU063019,68
NU064017,67+68
NU064018,68
NU064019,68
NU065016,67+68
NU065017,67+68
NU065018,68
NU065019,68
NU066015,67+68
NU066016,67+68
NU066017,68
NU066018,68
NU066019,68
NU067015,67+68
NU067016,68
NU067017,68
NU067018,68
NU067019,68
NU068015,67+68
NU068016,67+68
NU068017,68
NU068018,68
NU068019,68
NU069013,67+68
NU069014,67+68
NU069016,67+68
NU069017,68
NU069018,68
NU069019,68
NU0700,67+68
NU072009,67+68
NU073008,67+68
NU073009,67+68
NU074007,67+68
NU074008,67+68
NU074009,68
NU075007,67+68
NU075008,68
NU075009,68
NU076007,67+68
NU076008,68
NU076009,68
NU077007,67+68
NU077008,68
NU077009,68
NU078007,67+68
NU078008,68
NU078009,68
NU079007,67+68
NU079008,68
NU079009,68
NU0701,67+68
NU070012,67+68
NU070013,67+68
NU070014,67+68
NU070015,67+68
NU070016,67+68
NU070017,68
NU070018,68
NU070019,68
NU071010,67+68
NU071011,67+68
NU071012,67+68
NU071013,68
NU071014,68
NU071015,68
NU071016,68
NU071017,68
NU071018,68
NU071019,68
NU072010,67+68
NU072011,68
NU072012,68
NU072013,68
NU072014,68
NU072015,68
NU072016,68
NU072017,68
NU072018,68
NU072019,68
NU073010,68
NU073011,68
NU073012,68
NU073013,68
NU073014,68
NU073015,68
NU073016,68
NU073017,68
NU073018,68
NU073019,68
NU074010,68
NU074011,68
NU074012,68
NU074013,68
NU074014,68
NU074015,68
NU074016,68
NU074017,68
NU074018,68
NU074019,68
NU075010,68
NU075011,68
NU075012,68
NU075013,68
NU075014,68
NU075015,68
NU075016,68
NU075017,68
NU075018,68
NU075019,68
NU076010,68
NU076011,68
NU076012,68
NU076013,68
NU076014,68
NU076015,68
NU076016,68
NU076017,68
NU076018,68
NU076019,68
NU077010,68
NU077011,68
NU077012,68
NU077013,68
NU077014,68
NU077015,68
NU077016,68
NU077017,68
NU077018,68
NU077019,68
NU078010,68
NU078011,68
NU078012,68
NU078013,68
NU078014,68
NU078015,68
NU078016,68
NU078017,68
NU078018,68
NU078019,68
NU079010,68
NU079011,68
NU079012,68
NU079013,68
NU079014,68
NU079015,68
NU079016,68
NU079017,68
NU079018,68
NU079019,68
NU00R,68
NU00S,68
NU00T,68
NU00U,68
NU00V,67+68
NU0800,67+68
NU080007,67+68
NU080008,68
NU080009,68
NU081007,67+68
NU081008,67+68
NU081009,68
NU082007,67+68
NU082008,67+68
NU082009,68
NU083006,67+68
NU083007,67+68
NU083008,68
NU083009,68
NU084006,67+68
NU084007,68
NU084008,68
NU084009,68
NU085005,67+68
NU085006,67+68
NU085007,68
NU085008,68
NU085009,68
NU086004,67+68
NU086005,67+68
NU086006,68
NU086007,68
NU086008,68
NU086009,68
NU087003,67+68
NU087004,67+68
NU087005,68
NU087006,68
NU087007,68
NU087008,68
NU087009,68
NU088002,67+68
NU088003,67+68
NU088004,68
NU088005,68
NU088006,68
NU088007,68
NU088008,68
NU088009,68
NU089001,67+68
NU089002,67+68
NU089003,68
NU089004,68
NU089005,68
NU089006,68
NU089007,68
NU089008,68
NU089009,68
NU0801,68
NU0900,67+68
NU090000,67+68
NU090001,67+68
NU090002,68
NU090003,68
NU090004,68
NU090005,68
NU090006,68
NU090007,68
NU090008,68
NU090009,68
NU091000,68
NU091001,68
NU091002,68
NU091003,68
NU091004,68
NU091005,68
NU091006,68
NU091007,68
NU091008,68
NU091009,68
NU092000,68
NU092001,68
NU092002,68
NU092003,68
NU092004,68
NU092005,68
NU092006,68
NU092007,68
NU092008,68
NU092009,68
NU093000,68
NU093001,68
NU093002,68
NU093003,68
NU093004,68
NU093005,68
NU093006,68
NU093007,68
NU093008,68
NU093009,68
NU094000,68
NU094001,68
NU094002,68
NU094003,68
NU094004,68
NU094005,68
NU094006,68
NU094007,68
NU094008,68
NU094009,68
NU095000,68
NU095001,68
NU095002,68
NU095003,68
NU095004,68
NU095005,68
NU095006,68
NU095007,68
NU095008,68
NU095009,68
NU096000,68
NU096001,68
NU096002,68
NU096003,68
NU096004,68
NU096005,68
NU096006,68
NU096007,68
NU096008,68
NU096009,68
NU097000,68
NU097001,68
NU097002,68
NU097003,68
NU097004,68
NU097005,68
NU097006,68
NU097007,68
NU097008,68
NU097009,68
NU098000,68
NU098001,68
NU098002,68
NU098003,68
