NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT188069,72+79
NT189069,72+79
NT1807,79
NT1906,72+79
NT190069,72+79
NT1907,72+79
NT190070,72+79
NT190071,79
NT190072,79
NT190073,79
NT190074,79
NT190075,79
NT190076,79
NT190077,79
NT190078,79
NT190079,79
NT191070,72+79
NT191071,72+79
NT191072,79
NT191073,79
NT191074,79
NT191075,79
NT191076,79
NT191077,79
NT191078,79
NT191079,79
NT192071,72+79
NT192072,79
NT192073,79
NT192074,79
NT192075,79
NT192076,79
NT192077,79
NT192078,79
NT192079,79
NT193071,72+79
NT193072,72+79
NT193073,79
NT193074,79
NT193075,79
NT193076,79
NT193077,79
NT193078,79
NT193079,79
NT194072,72+79
NT194073,72+79
NT194074,79
NT194075,79
NT194076,79
NT194077,79
NT194078,79
NT194079,79
NT195073,72+79
NT195074,79
NT195075,79
NT195076,79
NT195077,79
NT195078,79
NT195079,79
NT196073,72+79
NT196074,72+79
NT196075,79
NT196076,79
NT196077,79
NT196078,79
NT196079,79
NT197074,72+79
NT197075,72+79
NT197076,79
NT197077,79
NT197078,72+79
NT197079,72+79
NT198075,72+79
NT198076,72+79
NT198077,72+79
NT198078,72+79
NT199076,72+79
NT199077,72+79
NT10Z,72+79
NT1808,79
NT1809,79
NT1908,72+79
NT190080,79
NT190081,79
NT190082,79
NT190083,79
NT190084,79
NT190085,79
NT190086,79
NT190087,79
NT190088,79
NT190089,79
NT191080,79
NT191081,79
NT191082,79
NT191083,79
NT191084,79
NT191085,79
NT191086,79
NT191087,79
NT191088,79
NT191089,79
NT192080,79
NT192081,79
NT192082,79
NT192083,79
NT192084,79
NT192085,79
NT192086,79
NT192087,79
NT192088,79
NT192089,79
NT193080,79
NT193081,79
NT193082,79
NT193083,79
NT193084,79
NT193085,79
NT193086,79
NT193087,79
NT193088,79
NT193089,79
NT194080,79
NT194081,79
NT194082,79
NT194083,79
NT194084,79
NT194085,79
NT194086,79
NT194087,79
NT194088,79
NT194089,79
NT195080,79
NT195081,79
NT195082,79
NT195083,79
NT195084,79
NT195085,79
NT195086,79
NT195087,79
NT195088,79
NT195089,79
NT196080,79
NT196081,79
NT196082,79
NT196083,79
NT196084,79
NT196085,79
NT196086,79
NT196087,79
NT196088,79
NT196089,79
NT197080,72+79
NT197081,79
NT197082,79
NT197083,79
NT197084,79
NT197085,79
NT197086,79
NT197087,79
NT197088,79
NT197089,79
NT198080,72+79
NT198081,72+79
NT198082,72+79
NT198083,79
NT198084,79
NT198085,79
NT198086,79
NT198087,79
NT198088,79
NT198089,79
NT199082,72+79
NT199083,79
NT199084,79
NT199085,79
NT199086,79
NT199087,79
NT199088,79
NT199089,79
NT1909,79
NT11,72+78+79
NT11SE,72+79
NT11NE,72+78+79
NT11Q,72+79
NT1610,72+79
NT169102,72+79
NT169103,72+79
NT1710,72+79
NT170100,72+79
NT170101,72+79
NT170102,72+79
NT170103,72+79
NT170104,72+79
NT170105,72+79
NT171100,79
NT171101,79
NT171102,79
NT171103,79
NT171104,79
NT171105,72+79
NT171106,72+79
NT172100,79
NT172101,79
NT172102,79
NT172103,79
NT172104,79
NT172105,79
NT172106,72+79
NT172107,72+79
NT172108,72+79
NT172109,72+79
NT173100,79
NT173101,79
NT173102,79
NT173103,79
NT173104,79
NT173105,79
NT173106,79
NT173107,79
NT173108,79
