NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT44,79+80+81+83
NT44SE,79+80+81+83
NT44NE,80+81+83
NT44T,81+83
NT4747,81+83
NT478476,81+83
NT478477,81+83
NT478478,81+83
NT478479,81+83
NT479474,81+83
NT479475,81+83
NT479476,81+83
NT479477,81
NT479478,81
NT479479,81
NT44U,81+83
NT4748,81+83
NT475489,81+83
NT476488,81+83
NT476489,81+83
NT477488,81+83
NT477489,81
NT478480,81+83
NT478481,81+83
NT478482,81+83
NT478483,81+83
NT478487,81+83
NT478488,81+83
NT478489,81
NT479480,81
NT479481,81
NT479482,81
NT479483,81+83
NT479484,81+83
NT479485,81+83
NT479486,81+83
NT479487,81+83
NT479488,81
NT479489,81
NT4749,81+83
NT472491,81+83
NT472492,81+83
NT472493,81+83
NT472496,81+83
NT472497,81+83
NT472498,81+83
NT472499,81+83
NT473491,81+83
NT473492,81
NT473493,81+83
NT473494,81+83
NT473495,81+83
NT473496,81+83
NT473497,81
NT473498,81
NT473499,81+83
NT474490,81+83
NT474491,81+83
NT474492,81
NT474493,81
NT474494,81
NT474495,81
NT474496,81
NT474497,81
NT474498,81
NT474499,81
NT475490,81+83
NT475491,81
NT475492,81
NT475493,81
NT475494,81
NT475495,81
NT475496,81
NT475497,81
NT475498,81
NT475499,81
NT476490,81
NT476491,81
NT476492,81
NT476493,81
NT476494,81
NT476495,81
NT476496,81
NT476497,81
NT476498,81
NT476499,81
NT477490,81
NT477491,81
NT477492,81
NT477493,81
NT477494,81
NT477495,81
NT477496,81
NT477497,81
NT477498,81
NT477499,81
NT478490,81
NT478491,81
NT478492,81
NT478493,81
NT478494,81
NT478495,81
NT478496,81
NT478497,81
NT478498,81
NT478499,81
NT479490,81
NT479491,81
NT479492,81
NT479493,81
NT479494,81
NT479495,81
NT479496,81
NT479497,81
NT479498,81
NT479499,81
NT44X,80+81+83
NT4845,80+81+83
NT481454,81+83
NT481455,81+83
NT481456,81+83
NT481457,81+83
NT482453,80+81+83
NT482454,80+81+83
NT482455,81
NT482456,81
NT482457,81+83
NT482458,81+83
NT483453,80+81
NT483454,81
NT483455,81
NT483456,81
NT483457,81
NT483458,81+83
NT483459,81+83
NT484453,80+81
NT484454,81
NT484455,81
NT484456,81
NT484457,81
NT484458,81
NT484459,81
NT485452,80+81
NT485453,80+81
NT485454,81
NT485455,81
NT485456,81
NT485457,81
NT485458,81
NT485459,81
NT486452,80+81
NT486453,81
NT486454,81
NT486455,81
NT486456,81
NT486457,81
NT486458,81
NT486459,81
NT487452,80+81
NT487453,81
NT487454,81
NT487455,81
NT487456,81
NT487457,81
NT487458,81
NT487459,81
NT488452,80+81
NT488453,81
NT488454,81
NT488455,81
NT488456,81
NT488457,81
NT488458,81
NT488459,81
NT489452,80+81
NT489453,81
NT489454,81
NT489455,81
NT489456,81
NT489457,81
NT489458,81
NT489459,81
NT4944,80+81
NT498449,80+81
NT499446,80+81
NT499447,80+81
NT499448,80+81
NT499449,80+81
NT4945,80+81
NT490452,80+81
NT490453,81
NT490454,81
NT490455,81
NT490456,81
NT490457,81
NT490458,81
NT490459,81
NT491452,80+81
NT491453,80+81
NT491454,81
NT491455,81
NT491456,81
NT491457,81
NT491458,81
NT491459,81
NT492453,80+81
NT492454,81
NT492455,81
NT492456,81
NT492457,81
NT492458,81
NT492459,81
NT493453,80+81
NT493454,81
NT493455,81
NT493456,81
NT493457,81
NT493458,81
NT493459,81
NT494453,80+81
NT494454,81
NT494455,81
NT494456,81
NT494457,81
NT494458,81
NT494459,81
NT495453,80+81
NT495454,81
NT495455,81
NT495456,81
NT495457,81
NT495458,81
NT495459,81
NT496453,80+81
NT496454,80+81
NT496455,81
NT496456,81
NT496457,81
NT496458,81
NT496459,81
NT497454,80+81
NT497455,81
NT497456,81
NT497457,81
NT497458,81
NT497459,81
NT498450,80+81
NT498451,80+81
NT498452,80+81
NT498453,80+81
NT498454,80+81
NT498455,81
NT498456,81
NT498457,81
NT498458,81
NT498459,81
NT499450,81
NT499451,81
NT499452,81
NT499453,81
NT499454,81
NT499455,81
NT499456,81
NT499457,81
NT499458,81
NT499459,81
NT44Y,81+83
NT4846,81+83
NT482468,81+83
NT482469,81+83
NT483460,81+83
NT483461,81+83
NT483462,81+83
NT483463,81+83
NT483464,81+83
NT483465,81+83
NT483466,81+83
NT483467,81+83
NT483468,81+83
NT483469,81
NT484460,81
NT484461,81
NT484462,81
NT484463,81
NT484464,81
NT484465,81
NT484466,81
NT484467,81
NT484468,81
NT484469,81
NT485460,81
NT485461,81
NT485462,81
NT485463,81
NT485464,81
NT485465,81
NT485466,81
NT485467,81
NT485468,81
NT485469,81
NT486460,81
NT486461,81
NT486462,81
NT486463,81
NT486464,81
NT486465,81
NT486466,81
NT486467,81
NT486468,81
NT486469,81
NT487460,81
NT487461,81
NT487462,81
NT487463,81
NT487464,81
NT487465,81
NT487466,81
NT487467,81
NT487468,81
NT487469,81
NT488460,81
NT488461,81
NT488462,81
NT488463,81
NT488464,81
NT488465,81
NT488466,81
NT488467,81
NT488468,81
NT488469,81
NT489460,81
NT489461,81
NT489462,81
NT489463,81
NT489464,81
NT489465,81
NT489466,81
NT489467,81
NT489468,81
NT489469,81
NT4847,81+83
NT480473,81+83
NT480474,81+83
NT480475,81
NT480476,81
NT480477,81
NT480478,81
NT480479,81
NT481470,81+83
NT481471,81+83
NT481472,81+83
NT481473,81+83
NT481474,81
NT481475,81
NT481476,81
NT481477,81
NT481478,81
NT481479,81
NT482470,81+83
NT482471,81
NT482472,81
NT482473,81
NT482474,81
NT482475,81
NT482476,81
NT482477,81
NT482478,81
NT482479,81
NT483470,81
NT483471,81
NT483472,81
NT483473,81
NT483474,81
NT483475,81
NT483476,81
NT483477,81
NT483478,81
NT483479,81
NT484470,81
NT484471,81
NT484472,81
NT484473,81
NT484474,81
NT484475,81
NT484476,81
NT484477,81
NT484478,81
NT484479,81
NT485470,81
NT485471,81
NT485472,81
NT485473,81
NT485474,81
NT485475,81
NT485476,81
NT485477,81
NT485478,81
NT485479,81
NT486470,81
NT486471,81
NT486472,81
NT486473,81
NT486474,81
NT486475,81
NT486476,81
NT486477,81
NT486478,81
NT486479,81
NT487470,81
NT487471,81
NT487472,81
NT487473,81
NT487474,81
NT487475,81
NT487476,81
NT487477,81
NT487478,81
NT487479,81
NT488470,81
NT488471,81
NT488472,81
NT488473,81
NT488474,81
NT488475,81
NT488476,81
NT488477,81
NT488478,81
NT488479,81
NT489470,81
NT489471,81
NT489472,81
NT489473,81
NT489474,81
NT489475,81
NT489476,81
NT489477,81
NT489478,81
NT489479,81
NT4946,81
NT4947,81
NT44Z,81+83
NT4848,81+83
NT480480,81
NT480481,81
NT480482,81
NT480483,81
NT480484,81+83
NT480485,81+83
NT480486,81+83
NT480487,81
NT480488,81
NT480489,81
NT481480,81
NT481481,81
NT481482,81
NT481483,81
NT481484,81+83
NT481485,81+83
NT481486,81
NT481487,81
NT481488,81
NT481489,81
NT482480,81
NT482481,81
NT482482,81
NT482483,81
NT482484,81
NT482485,81+83
NT482486,81
NT482487,81
NT482488,81
NT482489,81
NT483480,81
NT483481,81
NT483482,81
NT483483,81
NT483484,81
NT483485,81
NT483486,81
NT483487,81
NT483488,81
NT483489,81
NT484480,81
NT484481,81
NT484482,81
NT484483,81
NT484484,81
NT484485,81
NT484486,81
NT484487,81
NT484488,81
NT484489,81
NT485480,81
NT485481,81
NT485482,81
NT485483,81
NT485484,81
NT485485,81
NT485486,81
NT485487,81
NT485488,81
NT485489,81
NT486480,81
NT486481,81
NT486482,81
NT486483,81
NT486484,81
NT486485,81
NT486486,81
NT486487,81
NT486488,81
NT486489,81
NT487480,81
NT487481,81
NT487482,81
NT487483,81
NT487484,81
NT487485,81
NT487486,81
NT487487,81
NT487488,81
NT487489,81
NT488480,81
NT488481,81
NT488482,81
NT488483,81
NT488484,81
NT488485,81
NT488486,81
NT488487,81
NT488488,81
NT488489,81
NT489480,81
NT489481,81
NT489482,81
NT489483,81
NT489484,81
NT489485,81
NT489486,81
NT489487,81
NT489488,81
NT489489,81
NT4849,81
NT4948,81
NT4949,81
NT45,81+82+83
NT45SW,81+82+83
NT45NW,81+82+83
NT45SE,81+83
NT45NE,81+82+83
NT45G,81+83
NT4253,81+83
NT428533,81+83
NT428534,81+83
NT429532,81+83
NT429533,81+83
NT429534,81+83
NT429535,81+83
NT429536,81+83
NT4352,81+83
NT432529,81+83
NT433527,81+83
NT433528,81+83
NT433529,81+83
NT434527,81+83
NT434528,81
NT434529,81
NT435527,81+83
