TF,0+28+29+32+53+54+55
TF011066,55
TF011067,55
TF011068,55
TF011069,53+55
TF012060,55
TF012061,55
TF012062,55
TF012063,55
TF012064,55
TF012065,55
TF012066,55
TF012067,55
TF012068,53+55
TF012069,53+55
TF013060,53+55
TF013061,55
TF013062,55
TF013063,55
TF013064,55
TF013065,55
TF013066,55
TF013067,55
TF013068,53+55
TF013069,53
TF014060,53+55
TF014061,55
TF014062,55
TF014063,55
TF014064,55
TF014065,53+55
TF014066,53+55
TF014067,53+55
TF014068,53+55
TF014069,53
TF015060,53+55
TF015061,55
TF015062,55
TF015063,55
TF015064,55
TF015065,53+55
TF015066,53+55
TF015067,53+55
TF015068,53
TF015069,53
TF016060,53+55
TF016061,55
TF016062,55
TF016063,55
TF016064,55
TF016065,55
TF016066,53+55
TF016067,53
TF016068,53
TF016069,53
TF017060,53+55
TF017061,55
TF017062,55
TF017063,55
TF017064,55
TF017065,55
TF017066,53+55
TF017067,53
TF017068,53
TF017069,53
TF018060,53+55
TF018061,55
TF018062,55
TF018063,55
TF018064,55
TF018065,55
TF018066,53+55
TF018067,53+55
TF018068,53
TF018069,53
TF019060,53+55
TF019061,55
TF019062,55
TF019063,53+55
TF019064,53+55
TF019065,55
TF019066,53+55
TF019067,53+55
TF019068,53
TF019069,53
TF0107,53+55
TF010070,53+55
TF010071,53
TF010072,53
TF010073,53
TF010074,53
TF010075,53
TF010076,53
TF010077,53
TF010078,53
TF010079,53+55
TF011070,53
TF011071,53
TF011072,53
TF011073,53
TF011074,53
TF011075,53
TF011076,53
TF011077,53
TF011078,53+55
TF011079,53+55
TF012070,53
TF012071,53
TF012072,53
TF012073,53
TF012074,53
TF012075,53
TF012076,53
TF012077,53
TF012078,53
TF012079,53
TF013070,53
TF013071,53
TF013072,53
TF013073,53
TF013074,53
TF013075,53
TF013076,53
TF013077,53
TF013078,53
TF013079,53
TF014070,53
TF014071,53
TF014072,53
TF014073,53
TF014074,53
TF014075,53
TF014076,53
TF014077,53
TF014078,53
TF014079,53
TF015070,53
TF015071,53
TF015072,53
TF015073,53
TF015074,53
TF015075,53
TF015076,53
TF015077,53
TF015078,53
TF015079,53
TF016070,53
TF016071,53
TF016072,53
TF016073,53
TF016074,53
TF016075,53
TF016076,53
TF016077,53
TF016078,53
TF016079,53
TF017070,53
TF017071,53
TF017072,53
TF017073,53
TF017074,53
TF017075,53
TF017076,53
TF017077,53
TF017078,53
TF017079,53
TF018070,53
TF018071,53
TF018072,53
TF018073,53
TF018074,53
TF018075,53
TF018076,53
TF018077,53
TF018078,53
TF018079,53
TF019070,53
TF019071,53
TF019072,53
TF019073,53
TF019074,53
TF019075,53
TF019076,53
TF019077,53
TF019078,53
TF019079,53
TF00E,53+55
TF0008,53+55
TF000080,53
TF000081,53
TF000082,53
TF000083,53
TF000084,53
TF000085,53+55
TF000086,53+55
TF000087,55
TF000088,55
TF000089,55
TF001080,53
TF001081,53
TF001082,53
TF001083,53
TF001084,53
TF001085,53
TF001086,53+55
TF001087,55
TF001088,55
TF001089,55
TF002080,53
TF002081,53
TF002082,53
TF002083,53
TF002084,53
TF002085,53
TF002086,53+55
TF002087,55
TF002088,55
TF002089,55
TF003080,53
TF003081,53
TF003082,53
TF003083,53
TF003084,53
TF003085,53+55
TF003086,53+55
TF003087,55
TF003088,55
TF003089,55
TF004080,53
TF004081,53
TF004082,53
TF004083,53
TF004084,53+55
TF004085,53+55
TF004086,55
TF004087,55
TF004088,55
TF004089,55
TF005080,53
TF005081,53
TF005082,53
TF005083,53+55
TF005084,53+55
TF005085,55
TF005086,55
TF005087,55
TF005088,55
TF005089,55
TF006080,53
TF006081,53
TF006082,53+55
TF006083,53+55
TF006084,55
TF006085,55
TF006086,55
TF006087,55
TF006088,55
TF006089,55
TF007080,53
TF007081,53+55
TF007082,53+55
TF007083,55
TF007084,55
TF007085,55
TF007086,55
TF007087,55
TF007088,55
TF007089,55
TF008080,53+55
TF008081,53+55
TF008082,55
TF008083,55
TF008084,55
TF008085,55
TF008086,55
TF008087,55
TF008088,55
TF008089,55
TF009080,53+55
TF009081,55
TF009082,55
TF009083,55
TF009084,55
TF009085,55
TF009086,55
TF009087,55
TF009088,55
TF009089,55
TF0009,55
TF0108,53+55
TF010080,55
TF010081,55
TF010082,55
TF010083,55
TF010084,55
TF010085,55
TF010086,55
TF010087,55
TF010088,55
TF010089,55
TF011080,53+55
TF011081,55
TF011082,55
TF011083,55
TF011084,55
TF011085,55
TF011086,55
TF011087,55
TF011088,55
TF011089,55
TF012080,53+55
TF012081,55
TF012082,55
TF012083,55
TF012084,55
TF012085,55
TF012086,55
TF012087,55
TF012088,55
TF012089,55
TF013080,53+55
TF013081,55
TF013082,55
TF013083,55
TF013084,55
TF013085,55
TF013086,55
TF013087,55
TF013088,55
TF013089,55
TF014080,53+55
TF014081,55
TF014082,55
TF014083,55
TF014084,55
TF014085,55
TF014086,55
TF014087,55
TF014088,55
TF014089,55
TF015080,53+55
TF015081,55
TF015082,55
TF015083,55
TF015084,55
TF015085,55
TF015086,55
TF015087,55
TF015088,55
TF015089,55
TF016080,53+55
TF016081,55
TF016082,55
TF016083,55
TF016084,55
TF016085,55
TF016086,55
TF016087,55
TF016088,55
TF016089,55
TF017080,53+55
TF017081,55
TF017082,55
TF017083,55
TF017084,55
TF017085,55
TF017086,55
TF017087,55
TF017088,55
TF017089,55
TF018080,53+55
TF018081,55
TF018082,55
TF018083,55
TF018084,53+55
TF018085,55
TF018086,55
TF018087,55
TF018088,55
TF018089,55
TF019080,53+55
TF019081,53+55
TF019082,53+55
TF019083,53+55
TF019084,53+55
TF019085,53+55
TF019086,55
TF019087,55
TF019088,55
TF019089,55
TF0109,55
TF00F,32
TF00G,32
TF00H,32+53
TF0204,32
TF0205,32+53
TF020050,32
TF020051,32
TF020052,32
TF020053,32
TF020054,32
TF020055,32
TF020056,32
TF020057,32
TF020058,32+53
TF020059,53
TF021050,32
TF021051,32
TF021052,32
TF021053,32
TF021054,32
TF021055,32
TF021056,32
TF021057,32
TF021058,32+53
TF021059,32+53
TF022050,32
TF022051,32
TF022052,32
TF022053,32
TF022054,32
TF022055,32
TF022056,32
TF022057,32
TF022058,32
TF022059,32
TF023050,32
TF023051,32
TF023052,32
TF023053,32
TF023054,32
TF023055,32
TF023056,32
TF023057,32
TF023058,32
TF023059,32
TF024050,32
TF024051,32
TF024052,32
TF024053,32
TF024054,32
TF024055,32
TF024056,32
TF024057,32
TF024058,32
TF024059,32
TF025050,32
TF025051,32
TF025052,32
TF025053,32
TF025054,32
TF025055,32
TF025056,32
TF025057,32
TF025058,32
TF025059,32
TF026050,32
TF026051,32
TF026052,32
TF026053,32
TF026054,32
TF026055,32
TF026056,32
TF026057,32
TF026058,32
TF026059,32
TF027050,32
TF027051,32
TF027052,32
TF027053,32
TF027054,32
TF027055,32
TF027056,32
TF027057,32
TF027058,32
TF027059,32
TF028050,32
TF028051,32
TF028052,32
TF028053,32
TF028054,32
TF028055,32
TF028056,32
TF028057,32
TF028058,32
TF028059,32
TF029050,32
TF029051,32
TF029052,32
TF029053,32
TF029054,32
TF029055,32
TF029056,32
TF029057,32
TF029058,32
TF029059,32
TF0304,32
TF0305,32
TF00I,32+53+55
TF0206,32+53+55
TF020060,53+55
TF020061,53+55
TF020062,53+55
TF020063,53+55
TF020064,53+55
TF020065,53+55
TF020066,53+55
TF020067,53
TF020068,53
TF020069,53
TF021060,32+53
TF021061,53+55
TF021062,53+55
TF021063,53
TF021064,53
TF021065,53
TF021066,53
TF021067,53
TF021068,53
TF021069,53
TF022060,32+53
TF022061,32+53
TF022062,53
TF022063,53
TF022064,53
TF022065,53
TF022066,53
TF022067,53
TF022068,53
TF022069,53
TF023060,32
TF023061,32+53
TF023062,53
TF023063,53
TF023064,53
TF023065,53
TF023066,53
TF023067,53
TF023068,53
TF023069,53
TF024060,32
TF024061,32+53
TF024062,53
TF024063,53
TF024064,53
TF024065,53
TF024066,53
TF024067,53
TF024068,53
TF024069,53
TF025060,32
TF025061,32+53
TF025062,32+53
TF025063,32+53
TF025064,53
TF025065,53
TF025066,53
TF025067,53
TF025068,53
TF025069,53
TF026060,32
TF026061,32
TF026062,32
TF026063,32+53
TF026064,32+53
TF026065,32+53
TF026066,32+53
TF026067,53
TF026068,53
TF026069,53
TF027060,32
TF027061,32
TF027062,32
TF027063,32
TF027064,32
TF027065,32
TF027066,32+53
TF027067,32+53
TF027068,32+53
TF027069,53
TF028060,32
TF028061,32
TF028062,32
TF028063,32
TF028064,32
TF028065,32
TF028066,32
TF028067,32
TF028068,32+53
TF028069,53
TF029060,32
TF029061,32
TF029062,32
TF029063,32
TF029064,32
TF029065,32
TF029066,32
TF029067,32
TF029068,32+53
TF029069,32+53
TF0207,53
TF0306,32+53
TF030060,32
TF030061,32
TF030062,32
TF030063,32
TF030064,32
TF030065,32
TF030066,32
TF030067,32
TF030068,32
TF030069,32+53
TF031060,32
TF031061,32
TF031062,32
TF031063,32
TF031064,32
TF031065,32
TF031066,32
TF031067,32
TF031068,32
TF031069,32+53
TF032060,32
TF032061,32
TF032062,32
TF032063,32
TF032064,32
TF032065,32
TF032066,32
TF032067,32
TF032068,32
TF032069,32+53
TF033060,32
TF033061,32
TF033062,32
TF033063,32
TF033064,32
TF033065,32
TF033066,32
TF033067,32
TF033068,32
TF033069,32+53
TF034060,32
TF034061,32
TF034062,32
TF034063,32
TF034064,32
TF034065,32
TF034066,32
TF034067,32
TF034068,32
TF034069,32+53
TF035060,32
TF035061,32
TF035062,32
TF035063,32
TF035064,32
TF035065,32
TF035066,32
TF035067,32
TF035068,32
TF035069,32+53
TF036060,32
TF036061,32
TF036062,32
TF036063,32
TF036064,32
TF036065,32
TF036066,32
TF036067,32
TF036068,32
TF036069,32
TF037060,32
TF037061,32
TF037062,32
TF037063,32
TF037064,32
TF037065,32
TF037066,32
TF037067,32
TF037068,32
TF037069,32
TF038060,32
TF038061,32
TF038062,32
TF038063,32
TF038064,32
TF038065,32
TF038066,32
TF038067,32
TF038068,32
TF038069,32
TF039060,32
TF039061,32
TF039062,32
TF039063,32
TF039064,32
TF039065,32
TF039066,32
TF039067,32
TF039068,32
TF039069,32
TF0307,32+53
TF030070,53
TF030071,53
TF030072,53
TF030073,53
TF030074,53
TF030075,53
TF030076,53
TF030077,53
TF030078,53
TF030079,53
TF031070,53
TF031071,53
TF031072,53
TF031073,53
TF031074,53
TF031075,53
TF031076,53
TF031077,53
TF031078,53
TF031079,53
TF032070,53
TF032071,53
TF032072,53
TF032073,53
TF032074,53
TF032075,53
TF032076,53
TF032077,53
TF032078,53
TF032079,53
TF033070,53
TF033071,53
TF033072,53
TF033073,53
TF033074,53
TF033075,53
TF033076,53
TF033077,53
TF033078,53
TF033079,53
TF034070,53
TF034071,53
TF034072,53
TF034073,53
TF034074,53
TF034075,53
TF034076,53
TF034077,53
TF034078,53
TF034079,53
TF035070,32+53
TF035071,53
TF035072,53
TF035073,53
TF035074,53
TF035075,53
TF035076,53
TF035077,53
TF035078,53
TF035079,53
TF036070,32+53
TF036071,53
TF036072,53
TF036073,53
TF036074,53
TF036075,53
TF036076,53
TF036077,53
TF036078,53
TF036079,53
TF037070,32+53
TF037071,32+53
TF037072,53
TF037073,53
TF037074,53
TF037075,53
TF037076,53
TF037077,53
TF037078,53
TF037079,53
TF038070,32
TF038071,32+53
TF038072,53
TF038073,53
TF038074,53
TF038075,53
TF038076,53
TF038077,53
TF038078,53
TF038079,53
TF039070,32
TF039071,32+53
TF039072,32+53
TF039073,53
TF039074,53
TF039075,53
TF039076,53
TF039077,53
TF039078,53
TF039079,53
TF00J,53+55
TF0208,53+55
TF020080,53
TF020081,53
TF020082,53
TF020083,53
TF020084,53
TF020085,53+55
TF020086,55
TF020087,55
TF020088,55
TF020089,55
TF021080,53
TF021081,53
TF021082,53
TF021083,53
TF021084,53+55
TF021085,53+55
TF021086,55
TF021087,55
TF021088,55
TF021089,55
TF022080,53
TF022081,53
TF022082,53
TF022083,53
TF022084,53+55
TF022085,53+55
TF022086,55
TF022087,55
TF022088,55
TF022089,55
TF023080,53
TF023081,53
TF023082,53
TF023083,53
TF023084,53
TF023085,53+55
TF023086,55
TF023087,55
TF023088,55
TF023089,55
TF024080,53
TF024081,53
TF024082,53
TF024083,53
TF024084,53
TF024085,53+55
TF024086,55
TF024087,55
TF024088,55
TF024089,55
TF025080,53
TF025081,53
TF025082,53
TF025083,53
TF025084,53
TF025085,53+55
TF025086,55
TF025087,55
TF025088,55
TF025089,55
TF026080,53
TF026081,53
TF026082,53
TF026083,53
TF026084,53
TF026085,53+55
TF026086,53+55
TF026087,55
TF026088,55
TF026089,55
TF027080,53
TF027081,53
TF027082,53
TF027083,53
TF027084,53
TF027085,53
TF027086,53+55
TF027087,55
TF027088,55
TF027089,55
TF028080,53
TF028081,53
TF028082,53
TF028083,53
TF028084,53
TF028085,53
TF028086,53+55
TF028087,53+55
TF028088,55
TF028089,55
TF029080,53
TF029081,53
TF029082,53
TF029083,53
TF029084,53
TF029085,53
TF029086,53
TF029087,53+55
TF029088,55
TF029089,55
TF0209,55
TF0308,53+55
TF030080,53
TF030081,53
TF030082,53
TF030083,53
