ST,0+3+4+5+6+7+8+9+33+34+35+41
ST022131,3
ST022132,3+4
ST022133,3+4
ST022134,3+4
ST022135,3+4
ST022136,4
ST022137,4
ST022138,4
ST022139,4
ST023130,3
ST023131,3
ST023132,3
ST023133,3
ST023134,3
ST023135,3+4
ST023136,3+4
ST023137,3+4
ST023138,4
ST023139,4
ST024130,3
ST024131,3
ST024132,3
ST024133,3
ST024134,3
ST024135,3
ST024136,3
ST024137,3+4
ST024138,4
ST024139,4
ST025130,3
ST025131,3
ST025132,3
ST025133,3
ST025134,3
ST025135,3
ST025136,3
ST025137,3+4
ST025138,4
ST025139,4
ST026130,3
ST026131,3
ST026132,3
ST026133,3
ST026134,3
ST026135,3
ST026136,3
ST026137,3+4
ST026138,3+4
ST026139,4
ST027130,3
ST027131,3
ST027132,3
ST027133,3
ST027134,3
ST027135,3
ST027136,3
ST027137,3
ST027138,3+4
ST027139,3+4
ST028130,3
ST028131,3
ST028132,3
ST028133,3
ST028134,3
ST028135,3
ST028136,3
ST028137,3
ST028138,3
ST028139,3+4
ST029130,3
ST029131,3
ST029132,3
ST029133,3
ST029134,3
ST029135,3
ST029136,3
ST029137,3
ST029138,3
ST029139,3
ST0312,3
ST0313,3
ST01H,3+4
ST0214,3+4
ST020140,4
ST020141,4
ST020142,4
ST020143,4
ST020144,4
ST020145,4
ST020146,4
ST020147,4
ST020148,4
ST020149,4
ST021140,4
ST021141,4
ST021142,4
ST021143,4
ST021144,4
ST021145,4
ST021146,4
ST021147,4
ST021148,4
ST021149,4
ST022140,4
ST022141,4
ST022142,4
ST022143,4
ST022144,4
ST022145,4
ST022146,4
ST022147,4
ST022148,4
ST022149,4
ST023140,4
ST023141,4
ST023142,4
ST023143,4
ST023144,4
ST023145,4
ST023146,4
ST023147,4
ST023148,4
ST023149,4
ST024140,4
ST024141,4
ST024142,4
ST024143,4
ST024144,4
ST024145,4
ST024146,4
ST024147,4
ST024148,4
ST024149,4
ST025140,4
ST025141,4
ST025142,4
ST025143,4
ST025144,4
ST025145,4
ST025146,4
ST025147,4
ST025148,4
ST025149,4
ST026140,4
ST026141,4
ST026142,4
ST026143,4
ST026144,4
ST026145,4
ST026146,4
ST026147,4
ST026148,4
ST026149,4
ST027140,4
ST027141,4
ST027142,4
ST027143,4
ST027144,4
ST027145,4
ST027146,4
ST027147,4
ST027148,4
ST027149,4
ST028140,3+4
ST028141,4
ST028142,4
ST028143,4
ST028144,4
ST028145,4
ST028146,4
ST028147,4
ST028148,4
ST028149,4
ST029140,3+4
ST029141,3+4
ST029142,3+4
ST029143,4
ST029144,4
ST029145,4
ST029146,4
ST029147,4
ST029148,4
ST029149,4
ST0215,4
ST0314,3+4
ST030140,3
ST030141,3
ST030142,3+4
ST030143,3+4
ST030144,3+4
ST030145,4
ST030146,4
ST030147,4
ST030148,4
ST030149,4
ST031140,3
ST031141,3
ST031142,3
ST031143,3
ST031144,3+4
ST031145,4
ST031146,4
ST031147,4
ST031148,4
ST031149,4
ST032140,3
ST032141,3
ST032142,3
ST032143,3
ST032144,3+4
ST032145,4
ST032146,4
ST032147,4
ST032148,4
ST032149,4
ST033140,3
ST033141,3
ST033142,3
ST033143,3
ST033144,3+4
ST033145,3+4
ST033146,4
ST033147,4
ST033148,4
ST033149,4
ST034140,3
ST034141,3
ST034142,3
ST034143,3
ST034144,3
ST034145,3+4
ST034146,4
ST034147,4
ST034148,4
ST034149,4
ST035140,3
ST035141,3
ST035142,3
ST035143,3
ST035144,3
ST035145,3+4
ST035146,3+4
ST035147,4
ST035148,4
ST035149,4
ST036140,3
ST036141,3
ST036142,3
ST036143,3
ST036144,3
ST036145,3
ST036146,3+4
ST036147,3+4
ST036148,4
ST036149,4
ST037140,3
ST037141,3
ST037142,3
ST037143,3
ST037144,3
ST037145,3
ST037146,3
ST037147,3+4
ST037148,4
ST037149,4
ST038140,3
ST038141,3
ST038142,3
ST038143,3
ST038144,3
ST038145,3
ST038146,3
ST038147,3+4
ST038148,4
ST038149,4
ST039140,3
ST039141,3
ST039142,3
ST039143,3
ST039144,3
ST039145,3
ST039146,3
ST039147,3+4
ST039148,3+4
ST039149,4
ST0315,4
ST01I,4
ST01J,4
ST01K,3
ST01L,3
ST01M,3+4
