NU017020,67
NU017021,67+68
NU017022,67+68
NU017023,68
NU017024,68
NU017025,68
NU017026,68
NU017027,68
NU017028,68
NU017029,68
NU018020,67
NU018021,67+68
NU018022,68
NU018023,68
NU018024,68
NU018025,68
NU018026,68
NU018027,68
NU018028,68
NU018029,68
NU019020,67
NU019021,67+68
NU019022,68
NU019023,68
NU019024,68
NU019025,68
NU019026,68
NU019027,68
NU019028,68
NU019029,68
NU0103,68
NU00C,68
NU00D,68
NU00E,68
NU00F,67+68
NU0200,67
NU0201,67+68
NU020010,67
NU020011,67
NU020012,67
NU020013,67
NU020014,67
NU020015,67
NU020016,67
NU020017,67
NU020018,67
NU020019,67
NU021010,67
NU021011,67
NU021012,67
NU021013,67
NU021014,67
NU021015,67
NU021016,67
NU021017,67
NU021018,67
NU021019,67
NU022010,67
NU022011,67
NU022012,67
NU022013,67
NU022014,67
NU022015,67
NU022016,67
NU022017,67
NU022018,67
NU022019,67
NU023010,67
NU023011,67
NU023012,67
NU023013,67
NU023014,67
NU023015,67
NU023016,67
NU023017,67
NU023018,67
NU023019,67
NU024010,67
NU024011,67
NU024012,67
NU024013,67
NU024014,67
NU024015,67
NU024016,67
NU024017,67
NU024018,67
NU024019,67
NU025010,67
NU025011,67
NU025012,67
NU025013,67
NU025014,67
NU025015,67
NU025016,67
NU025017,67
NU025018,67
NU025019,67
NU026010,67
NU026011,67
NU026012,67
NU026013,67
NU026014,67
NU026015,67
NU026016,67
NU026017,67
NU026018,67
NU026019,67
NU027010,67
NU027011,67
NU027012,67
NU027013,67
NU027014,67
NU027015,67
NU027016,67
NU027017,67
NU027018,67
NU027019,67
NU028010,67
NU028011,67
NU028012,67
NU028013,67
NU028014,67
NU028015,67
NU028016,67
NU028017,67+68
NU028018,67+68
NU028019,67+68
NU029010,67
NU029011,67
NU029012,67
NU029013,67
NU029014,67
NU029015,67
NU029016,67
NU029017,67+68
NU029018,68
NU029019,68
NU0300,67
NU0301,67+68
NU030010,67
NU030011,67
NU030012,67
NU030013,67
NU030014,67
NU030015,67
NU030016,67
NU030017,67+68
NU030018,68
NU030019,68
NU031010,67
NU031011,67
NU031012,67
NU031013,67
NU031014,67
NU031015,67
NU031016,67
NU031017,67+68
NU031018,68
NU031019,68
NU032010,67
NU032011,67
NU032012,67
NU032013,67
NU032014,67
NU032015,67
NU032016,67+68
NU032017,67+68
NU032018,68
NU032019,68
NU033010,67
NU033011,67
NU033012,67
NU033013,67
NU033014,67
NU033015,67+68
NU033016,67+68
NU033017,68
NU033018,68
NU033019,68
NU034010,67
NU034011,67
NU034012,67
NU034013,67
NU034014,67+68
NU034015,67+68
NU034016,68
NU034017,68
NU034018,68
NU034019,68
NU035010,67
NU035011,67
NU035012,67
NU035013,67
NU035014,67+68
NU035015,68
NU035016,68
NU035017,68
NU035018,68
NU035019,68
NU036010,67
NU036011,67
NU036012,67
NU036013,67
NU036014,67+68
NU036015,68
NU036016,68
NU036017,68
NU036018,68
NU036019,68
NU037010,67
NU037011,67
NU037012,67
NU037013,67
NU037014,67+68
NU037015,67+68
NU037016,68
NU037017,68
NU037018,68
NU037019,68
NU038010,67
NU038011,67
NU038012,67
NU038013,67
NU038014,67
NU038015,67+68
NU038016,68
NU038017,68
NU038018,68
NU038019,68
NU039010,67
NU039011,67
NU039012,67
NU039013,67
NU039014,67+68
NU039015,67+68
NU039016,68
