NM,0+97+98+102+103+104
NM001481,0
NM001482,0
NM001483,0
NM001484,0
NM001485,0
NM001486,0
NM001487,0
NM001488,0
NM001489,0
NM002480,0
NM002481,0
NM002482,0
NM002483,0
NM002484,0
NM002485,0
NM002486,0
NM002487,0
NM002488,0
NM002489,0
NM003480,0
NM003481,0
NM003482,0
NM003483,0
NM003484,0
NM003485,0
NM003486,0
NM003487,0
NM003488,0
NM003489,0
NM004480,0
NM004481,0
NM004482,0
NM004483,0
NM004484,0
NM004485,0
NM004486,0
NM004487,0
NM004488,0
NM004489,0
NM005480,0
NM005481,0
NM005482,0
NM005483,0
NM005484,0
NM005485,0
NM005486,0
NM005487,0
NM005488,0
NM005489,0
NM006480,0
NM006481,0
NM006482,0
NM006483,0
NM006484,0+103
NM006485,0+103
NM006486,0
NM006487,0
NM006488,0
NM006489,0
NM007480,0
NM007481,0
NM007482,0
NM007483,0+103
NM007484,0+103
NM007485,0+103
NM007486,0+103
NM007487,0
NM007488,0
NM007489,0
NM008480,0
NM008481,0
NM008482,0
NM008483,0+103
NM008484,0+103
NM008485,0+103
NM008486,0+103
NM008487,0
NM008488,0
NM008489,0
NM009480,0
NM009481,0
NM009482,0
NM009483,0
NM009484,0
NM009485,0+103
NM009486,0+103
NM009487,0
NM009488,0
NM009489,0
NM0049,0
NM0148,0+103
NM010480,0
NM010481,0
NM010482,0
NM010483,0
NM010484,0
NM010485,0
NM010486,0
NM010487,0
NM010488,0
NM010489,0
NM011480,0+103
NM011481,0
NM011482,0
NM011483,0
NM011484,0
NM011485,0
NM011486,0
NM011487,0
NM011488,0
NM011489,0
NM012480,0+103
NM012481,0+103
NM012482,0+103
NM012483,0+103
NM012484,0
NM012485,0
NM012486,0
NM012487,0
NM012488,0
NM012489,0
NM013480,103
NM013481,103
NM013482,0+103
NM013483,0+103
NM013484,0
NM013485,0
NM013486,0
NM013487,0
NM013488,0
NM013489,0
NM014480,103
NM014481,103
NM014482,103
NM014483,0+103
NM014484,0+103
NM014485,0
NM014486,0
NM014487,0
NM014488,0
NM014489,0
NM015480,103
NM015481,103
NM015482,103
NM015483,0+103
NM015484,0+103
NM015485,0
NM015486,0
NM015487,0
NM015488,0
NM015489,0
NM016480,103
NM016481,103
NM016482,103
NM016483,0+103
NM016484,0+103
NM016485,0+103
NM016486,0
NM016487,0
NM016488,0
NM016489,0
NM017480,103
NM017481,103
NM017482,103
NM017483,0+103
NM017484,0+103
NM017485,0+103
NM017486,0
NM017487,0
NM017488,0
NM017489,0
NM018480,103
NM018481,103
NM018482,103
NM018483,103
NM018484,0+103
NM018485,0+103
NM018486,0+103
NM018487,0
NM018488,0
NM018489,0
NM019480,103
NM019481,103
NM019482,103
NM019483,103
NM019484,0+103
NM019485,0+103
NM019486,0+103
NM019487,0
NM019488,0
NM019489,0
NM0149,0
NM04F,0
NM04G,0+103
NM0242,0
NM0243,0+103
NM020430,0
NM020431,0
NM020432,0
NM020433,0
NM020434,0+103
NM020435,0+103
NM020436,0+103
NM020437,103
NM020438,103
NM020439,103
NM021430,0
NM021431,0
NM021432,0
NM021433,0
NM021434,0+103
NM021435,0+103
NM021436,0+103
NM021437,0+103
NM021438,103
NM021439,103
NM022430,0
NM022431,0
NM022432,0
NM022433,0
NM022434,0
NM022435,0
NM022436,0+103
NM022437,0+103
NM022438,103
NM022439,103
NM023430,0
NM023431,0
NM023432,0
NM023433,0+103
NM023434,0+103
NM023435,0+103
NM023436,0+103
NM023437,0+103
NM023438,103
NM023439,103
NM024430,0
NM024431,0
NM024432,0
NM024433,0+103
NM024434,0+103
NM024435,0+103
NM024436,0+103
NM024437,103
NM024438,103
NM024439,103
NM025430,0
NM025431,0
NM025432,0
NM025433,0+103
NM025434,0+103
NM025435,0+103
NM025436,103
NM025437,103
NM025438,103
NM025439,103
NM026430,0
NM026431,0
NM026432,0
NM026433,0+103
NM026434,0+103
NM026435,0+103
NM026436,0+103
NM026437,103
NM026438,103
NM026439,103
NM027430,0
NM027431,0
NM027432,0+103
NM027433,0+103
NM027434,0+103
NM027435,0+103
NM027436,103
NM027437,103
NM027438,103
NM027439,103
NM028430,0
NM028431,0+103
NM028432,0+103
NM028433,0+103
NM028434,0+103
NM028435,103
NM028436,103
NM028437,103
NM028438,103
NM028439,103
NM029430,0
NM029431,0
NM029432,0+103
NM029433,0+103
NM029434,0+103
NM029435,103
NM029436,103
NM029437,103
NM029438,103
NM029439,103
NM0342,0+103
NM030420,0
NM030421,0
NM030422,0
NM030423,0
NM030424,0
NM030425,0
NM030426,0
NM030427,0
NM030428,0
NM030429,0
NM031420,0
NM031421,0
NM031422,0
NM031423,0
NM031424,0
NM031425,0
NM031426,0
NM031427,0
NM031428,0
NM031429,0
NM032420,0
NM032421,0
NM032422,0
NM032423,0
NM032424,0
NM032425,0
NM032426,0
NM032427,0
NM032428,0
NM032429,0
NM033420,0
NM033421,0
NM033422,0
NM033423,0
NM033424,0
NM033425,0
NM033426,0
NM033427,0
NM033428,0
NM033429,0
NM034420,0
NM034421,0
NM034422,0
NM034423,0
NM034424,0
NM034425,0
NM034426,0
NM034427,0
NM034428,0
NM034429,0
NM035420,0
NM035421,0
NM035422,0
NM035423,0
NM035424,0
NM035425,0
NM035426,0
NM035427,0
NM035428,0
NM035429,0
NM036420,0
NM036421,0
NM036422,0
NM036423,0
NM036424,0
NM036425,0
NM036426,0
NM036427,0
NM036428,0
NM036429,0
NM037420,0
NM037421,0
NM037422,0
NM037423,0
NM037424,0
NM037425,0
NM037426,0+103
NM037427,0+103
NM037428,0
NM037429,0
NM038420,0
NM038421,0
NM038422,0
NM038423,0
NM038424,0
NM038425,0
NM038426,0+103
NM038427,0+103
NM038428,0
NM038429,0
NM039420,0
NM039421,0
NM039422,0
NM039423,0
NM039424,0
NM039425,0
NM039426,0
NM039427,0
NM039428,0
NM039429,0
NM0343,0+103
NM030430,0
NM030431,0
NM030432,0
NM030433,0
NM030434,0+103
NM030435,0+103
NM030436,103
NM030437,103
NM030438,103
NM030439,103
NM031430,0
NM031431,0
NM031432,0
NM031433,0
NM031434,0+103
NM031435,0+103
NM031436,103
NM031437,103
NM031438,103
NM031439,103
NM032430,0
NM032431,0
NM032432,0
NM032433,0
NM032434,0+103
NM032435,0+103
NM032436,103
NM032437,103
NM032438,103
NM032439,103
NM033430,0
NM033431,0
NM033432,0
NM033433,0+103
NM033434,0+103
NM033435,0+103
NM033436,103
NM033437,103
NM033438,103
NM033439,103
NM034430,0+103
NM034431,0+103
NM034432,0+103
NM034433,0+103
NM034434,103
NM034435,103
NM034436,103
NM034437,103
NM034438,103
NM034439,103
NM035430,0+103
NM035431,0+103
NM035432,0+103
NM035433,103
NM035434,103
NM035435,103
NM035436,103
NM035437,103
NM035438,103
NM035439,103
NM036430,0
NM036431,0
NM036432,0+103
NM036433,103
NM036434,103
NM036435,103
NM036436,103
NM036437,103
NM036438,103
NM036439,103
NM037430,0
NM037431,0+103
NM037432,0+103
NM037433,103
NM037434,103
NM037435,103
NM037436,103
NM037437,103
NM037438,103
NM037439,103
NM038430,0
NM038431,0+103
NM038432,0+103
NM038433,103
NM038434,0+103
NM038435,0+103
NM038436,103
NM038437,103
NM038438,103
NM038439,103
NM039430,0
NM039431,0+103
NM039432,0+103
NM039433,0+103
NM039434,0+103
NM039435,0+103
NM039436,0+103
NM039437,103
NM039438,103
NM039439,103
NM04H,103
NM04I,103
NM04J,0+103
NM0248,0+103
NM020480,103
NM020481,103
NM020482,103
NM020483,0+103
NM020484,0+103
NM020485,0+103
NM020486,0+103
NM020487,0
NM020488,0
NM020489,0
NM021480,103
NM021481,103
NM021482,103
NM021483,0+103
NM021484,0+103
NM021485,0+103
NM021486,0+103
NM021487,0
NM021488,0
NM021489,0
NM022480,103
NM022481,103
NM022482,103
NM022483,103
NM022484,103
NM022485,103
NM022486,0+103
NM022487,0
NM022488,0
NM022489,0
NM023480,103
NM023481,103
NM023482,103
NM023483,103
NM023484,103
NM023485,103
NM023486,0+103
NM023487,0
NM023488,0
NM023489,0
NM024480,103
NM024481,103
NM024482,103
NM024483,103
NM024484,103
NM024485,103
NM024486,0+103
NM024487,0+103
NM024488,0
NM024489,0
NM025480,103
NM025481,103
NM025482,103
NM025483,103
NM025484,103
NM025485,103
NM025486,103
NM025487,0+103
NM025488,0
NM025489,0
NM026480,103
NM026481,103
NM026482,103
NM026483,103
NM026484,103
NM026485,103
NM026486,103
NM026487,0+103
NM026488,0+103
NM026489,0+103
NM027480,103
NM027481,103
NM027482,103
NM027483,103
NM027484,103
NM027485,103
NM027486,103
NM027487,103
NM027488,0+103
NM027489,0+103
NM028480,103
NM028481,103
NM028482,103
NM028483,103
NM028484,103
NM028485,103
NM028486,103
NM028487,103
NM028488,103
NM028489,0+103
NM029480,103
NM029481,103
NM029482,103
NM029483,103
NM029484,103
NM029485,103
NM029486,103
NM029487,103
NM029488,103
NM029489,0+103
NM0249,0+103
NM020490,0
NM020491,0
NM020492,0
NM020493,0
NM020494,0
NM020495,0
NM020496,0
NM020497,0
NM020498,0
NM020499,0
NM021490,0
NM021491,0
NM021492,0
NM021493,0
NM021494,0
NM021495,0
NM021496,0
NM021497,0
NM021498,0
NM021499,0
NM022490,0
NM022491,0
NM022492,0
NM022493,0
NM022494,0
NM022495,0
NM022496,0
NM022497,0
NM022498,0
NM022499,0
NM023490,0
NM023491,0
NM023492,0
NM023493,0
NM023494,0
NM023495,0
NM023496,0
NM023497,0
NM023498,0
NM023499,0
NM024490,0
NM024491,0
NM024492,0
NM024493,0
NM024494,0
NM024495,0
NM024496,0
NM024497,0
NM024498,0
NM024499,0
NM025490,0
NM025491,0
NM025492,0
NM025493,0
NM025494,0
