SX,0+2+3+4
SX018416,0
SX018417,0
SX018418,0
SX018419,0
SX019410,0
SX019411,0
SX019412,0
SX019413,0
SX019414,0
SX019415,0
SX019416,0
SX019417,0
SX019418,0
SX019419,0
SX04B,0+2
SX0042,2
SX0043,2
SX0142,0+2
SX010420,2
SX010421,2
SX010422,2
SX010423,2
SX010424,2
SX010425,2
SX010426,2
SX010427,2
SX010428,2
SX010429,2
SX011420,2
SX011421,2
SX011422,2
SX011423,2
SX011424,2
SX011425,2
SX011426,2
SX011427,2
SX011428,2
SX011429,2
SX012420,2
SX012421,2
SX012422,2
SX012423,2
SX012424,2
SX012425,2
SX012426,2
SX012427,2
SX012428,2
SX012429,2
SX013420,2
SX013421,2
SX013422,2
SX013423,2
SX013424,2
SX013425,2
SX013426,2
SX013427,2
SX013428,2
SX013429,2
SX014420,2
SX014421,2
SX014422,2
SX014423,2
SX014424,2
SX014425,2
SX014426,2
SX014427,2
SX014428,2
SX014429,2
SX015420,0+2
SX015421,0+2
SX015422,2
SX015423,2
SX015424,2
SX015425,2
SX015426,2
SX015427,2
SX015428,2
SX015429,2
SX016420,0
SX016421,0+2
SX016422,0+2
SX016423,2
SX016424,2
SX016425,2
SX016426,2
SX016427,2
SX016428,2
SX016429,2
SX017420,0
SX017421,0
SX017422,0+2
SX017423,0+2
SX017424,2
SX017425,2
SX017426,2
SX017427,2
SX017428,2
SX017429,2
SX018420,0
SX018421,0
SX018422,0
SX018423,0+2
SX018424,0+2
SX018425,2
SX018426,2
SX018427,2
SX018428,2
SX018429,2
SX019420,0
SX019421,0
SX019422,0
SX019423,0
SX019424,0+2
SX019425,0+2
SX019426,2
SX019427,2
SX019428,2
SX019429,2
SX0143,0+2
SX010430,2
SX010431,2
SX010432,2
SX010433,2
SX010434,2
SX010435,2
SX010436,2
SX010437,2
SX010438,2
SX010439,2
SX011430,2
SX011431,2
SX011432,2
SX011433,2
SX011434,2
SX011435,2
SX011436,2
SX011437,2
SX011438,2
SX011439,2
SX012430,2
SX012431,2
SX012432,2
SX012433,2
SX012434,2
SX012435,2
SX012436,2
SX012437,2
SX012438,2
SX012439,2
SX013430,2
SX013431,2
SX013432,2
SX013433,2
SX013434,2
SX013435,2
SX013436,2
SX013437,2
SX013438,2
SX013439,2
SX014430,2
SX014431,2
SX014432,2
SX014433,2
SX014434,2
SX014435,2
SX014436,2
SX014437,2
SX014438,2
SX014439,2
SX015430,2
SX015431,2
SX015432,2
SX015433,2
SX015434,2
SX015435,2
SX015436,2
SX015437,2
SX015438,2
SX015439,2
SX016430,2
SX016431,2
SX016432,2
SX016433,2
SX016434,2
SX016435,2
SX016436,2
SX016437,2
SX016438,0+2
SX016439,0+2
SX017430,2
SX017431,2
SX017432,2
SX017433,2
SX017434,2
SX017435,2
SX017436,2
SX017437,2
SX017438,0+2
SX017439,0+2
SX018430,2
SX018431,2
SX018432,2
SX018433,2
SX018434,2
SX018435,2
SX018436,2
SX018437,0+2
SX018438,0+2
SX018439,0
SX019430,2
SX019431,2
SX019432,2
SX019433,2
SX019434,2
SX019435,2
SX019436,0+2
SX019437,0+2
SX019438,0+2
SX019439,0
SX04C,0+2
SX0044,2
SX0045,2
SX0144,0+2
SX010440,2
SX010441,2
SX010442,2
SX010443,2
SX010444,2
SX010445,2
SX010446,2
SX010447,2
SX010448,2
SX010449,2
SX011440,2
SX011441,2
SX011442,2
SX011443,2
SX011444,2
SX011445,2
SX011446,2
SX011447,2
SX011448,2
SX011449,2
SX012440,2
SX012441,2
SX012442,2
SX012443,2
SX012444,2
SX012445,2
SX012446,2
SX012447,2
SX012448,2
SX012449,2
SX013440,2
SX013441,2
SX013442,2
SX013443,2
SX013444,2
SX013445,2
SX013446,2
SX013447,2
SX013448,2
SX013449,2
SX014440,2
SX014441,2
SX014442,2
SX014443,2
SX014444,2
SX014445,2
SX014446,2
SX014447,2
SX014448,2
SX014449,2
SX015440,2
SX015441,2
SX015442,2
SX015443,2
SX015444,2
