NX,0+70+71+72+73+74+75
NX089358,74
NX089359,74
NX0934,74
NX0935,74
NX03Y,0+74
NX0836,0+74
NX080360,0
NX080361,0
NX080362,0
NX080363,0
NX080364,0
NX080365,0
NX080366,0
NX080367,0
NX080368,0
NX080369,0
NX081360,0
NX081361,0
NX081362,0
NX081363,0
NX081364,0
NX081365,0
NX081366,0
NX081367,0
NX081368,0
NX081369,0
NX082360,0
NX082361,0
NX082362,0
NX082363,0
NX082364,0
NX082365,0
NX082366,0
NX082367,0
NX082368,0
NX082369,0
NX083360,0
NX083361,0+74
NX083362,0+74
NX083363,0+74
NX083364,0
NX083365,0
NX083366,0
NX083367,0
NX083368,0
NX083369,0
NX084360,0+74
NX084361,0+74
NX084362,74
NX084363,0+74
NX084364,0+74
NX084365,0+74
NX084366,0
NX084367,0+74
NX084368,0+74
NX084369,0
NX085360,74
NX085361,74
NX085362,74
NX085363,74
NX085364,74
NX085365,0+74
NX085366,0+74
NX085367,0+74
NX085368,0+74
NX085369,0+74
NX086360,74
NX086361,74
NX086362,74
NX086363,74
NX086364,74
NX086365,74
NX086366,74
NX086367,74
NX086368,74
NX086369,0+74
NX087360,74
NX087361,74
NX087362,74
NX087363,74
NX087364,74
NX087365,74
NX087366,74
NX087367,74
NX087368,74
NX087369,0+74
NX088360,74
NX088361,74
NX088362,74
NX088363,74
NX088364,74
NX088365,74
NX088366,74
NX088367,74
NX088368,74
NX088369,74
NX089360,74
NX089361,74
NX089362,74
NX089363,74
NX089364,74
NX089365,74
NX089366,74
NX089367,74
NX089368,74
NX089369,74
NX0837,0+74
NX080370,0
NX080371,0
NX080372,0
NX080373,0
NX080374,0
NX080375,0
NX080376,0
NX080377,0
NX080378,0
NX080379,0
NX081370,0
NX081371,0
NX081372,0
NX081373,0
NX081374,0
NX081375,0
NX081376,0
NX081377,0
NX081378,0
NX081379,0
NX082370,0
NX082371,0
NX082372,0
NX082373,0
NX082374,0
NX082375,0
NX082376,0
NX082377,0
NX082378,0
NX082379,0
NX083370,0
NX083371,0
NX083372,0
NX083373,0
NX083374,0
NX083375,0
NX083376,0
NX083377,0
NX083378,0
NX083379,0
NX084370,0
NX084371,0
NX084372,0
NX084373,0
NX084374,0
NX084375,0
NX084376,0
NX084377,0
NX084378,0
NX084379,0
NX085370,0
NX085371,0
NX085372,0
NX085373,0
NX085374,0
NX085375,0
NX085376,0
NX085377,0
NX085378,0
NX085379,0
NX086370,0
NX086371,0
NX086372,0
NX086373,0
NX086374,0
NX086375,0
NX086376,0
NX086377,0
NX086378,0
NX086379,0
NX087370,0+74
NX087371,0
NX087372,0
NX087373,0
NX087374,0
NX087375,0
NX087376,0
NX087377,0
NX087378,0
NX087379,0
NX088370,0+74
NX088371,0
NX088372,0
NX088373,0
NX088374,0
NX088375,0
NX088376,0
NX088377,0
NX088378,0
NX088379,0
NX089370,0+74
NX089371,0+74
NX089372,0+74
NX089373,0
NX089374,0
NX089375,0
NX089376,0
NX089377,0
NX089378,0
NX089379,0
NX0936,74
NX0937,0+74
NX090370,74
NX090371,74
NX090372,0+74
NX090373,0
NX090374,0
NX090375,0
NX090376,0
NX090377,0
NX090378,0
NX090379,0
NX091370,74
NX091371,74
NX091372,0+74
NX091373,0+74
NX091374,0
NX091375,0
NX091376,0
NX091377,0
NX091378,0
NX091379,0
NX092370,74
NX092371,74
NX092372,74
NX092373,74
NX092374,0+74
NX092375,0
NX092376,0
NX092377,0
NX092378,0
NX092379,0
NX093370,74
NX093371,74
NX093372,74
NX093373,74
NX093374,0+74
NX093375,0+74
NX093376,0
NX093377,0
NX093378,0
NX093379,0
NX094370,74
NX094371,74
NX094372,74
NX094373,74
NX094374,74
NX094375,0+74
NX094376,0
NX094377,0
NX094378,0
NX094379,0
NX095370,74
NX095371,74
NX095372,74
NX095373,74
NX095374,74
NX095375,0+74
NX095376,0+74
NX095377,0
NX095378,0
NX095379,0
NX096370,74
NX096371,74
NX096372,74
NX096373,74
NX096374,74
NX096375,74
NX096376,0+74
NX096377,0+74
NX096378,0
NX096379,0
NX097370,74
NX097371,74
NX097372,74
NX097373,74
NX097374,74
NX097375,74
NX097376,74
NX097377,0+74
NX097378,0
NX097379,0
NX098370,74
NX098371,74
NX098372,74
NX098373,74
NX098374,74
NX098375,74
NX098376,74
NX098377,0+74
NX098378,0
NX098379,0
NX099370,74
NX099371,74
NX099372,74
NX099373,74
NX099374,74
NX099375,74
NX099376,74
NX099377,0+74
NX099378,0+74
NX099379,0
NX03Z,0+74
NX0838,0
NX0839,0
NX0938,0+74
NX090380,0
NX090381,0
NX090382,0
NX090383,0
NX090384,0
NX090385,0
NX090386,0
NX090387,0
NX090388,0
NX090389,0
NX091380,0
NX091381,0
NX091382,0
NX091383,0
NX091384,0
NX091385,0
NX091386,0
NX091387,0
NX091388,0
NX091389,0
NX092380,0
NX092381,0
NX092382,0
NX092383,0
NX092384,0
NX092385,0
NX092386,0
NX092387,0
NX092388,0
NX092389,0
NX093380,0
NX093381,0
NX093382,0
NX093383,0
NX093384,0
NX093385,0
NX093386,0
NX093387,0
NX093388,0+74
NX093389,0+74
NX094380,0
NX094381,0
NX094382,0
NX094383,0
NX094384,0
NX094385,0
NX094386,0+74
NX094387,0+74
NX094388,0+74
NX094389,74
NX095380,0
NX095381,0
NX095382,0
NX095383,0
NX095384,0+74
NX095385,0+74
NX095386,0+74
NX095387,74
