TL,0+18+19+20+21+24+26+28+29+30+31+32
TL001059,24
TL002050,24
TL002051,24
TL002052,24
TL002053,24
TL002054,24
TL002055,24
TL002056,24
TL002057,24
TL002058,24
TL002059,24
TL003050,24
TL003051,24
TL003052,24
TL003053,24
TL003054,24
TL003055,24
TL003056,24
TL003057,24
TL003058,24
TL003059,24
TL004050,24
TL004051,24
TL004052,24
TL004053,24
TL004054,24
TL004055,24
TL004056,24
TL004057,24
TL004058,24
TL004059,24
TL005050,24
TL005051,24
TL005052,24
TL005053,24
TL005054,24
TL005055,24
TL005056,24
TL005057,24
TL005058,24
TL005059,24
TL006050,24
TL006051,24
TL006052,24
TL006053,24
TL006054,24
TL006055,24
TL006056,24
TL006057,24
TL006058,24
TL006059,20+24
TL007050,24
TL007051,24
TL007052,24
TL007053,24
TL007054,24
TL007055,24
TL007056,24
TL007057,24
TL007058,24
TL007059,20+24
TL008050,24
TL008051,24
TL008052,24
TL008053,24
TL008054,24
TL008055,24
TL008056,20+24
TL008057,20+24
TL008058,20+24
TL008059,20+24
TL009050,24
TL009051,24
TL009052,24
TL009053,24
TL009054,24
TL009055,20+24
TL009056,20+24
TL009057,20
TL009058,20+24
TL009059,20
TL0104,20+24
TL010040,20
TL010041,20
TL010042,20
TL010043,20+24
TL010044,20+24
TL010045,24
TL010046,24
TL010047,24
TL010048,24
TL010049,24
TL011040,20
TL011041,20
TL011042,20
TL011043,20
TL011044,20+24
TL011045,24
TL011046,24
TL011047,24
TL011048,24
TL011049,24
TL012040,20
TL012041,20
TL012042,20
TL012043,20
TL012044,20+24
TL012045,20+24
TL012046,20+24
TL012047,24
TL012048,24
TL012049,24
TL013040,20
TL013041,20
TL013042,20
TL013043,20
TL013044,20
TL013045,20
TL013046,20+24
TL013047,20+24
TL013048,20+24
TL013049,24
TL014040,20
TL014041,20
TL014042,20
TL014043,20
TL014044,20
TL014045,20
TL014046,20
TL014047,20
TL014048,20+24
TL014049,20+24
TL015040,20
TL015041,20
TL015042,20
TL015043,20
TL015044,20
TL015045,20
TL015046,20
TL015047,20
TL015048,20
TL015049,20
TL016040,20
TL016041,20
TL016042,20
TL016043,20
TL016044,20
TL016045,20
TL016046,20
TL016047,20
TL016048,20
TL016049,20
TL017040,20
TL017041,20
TL017042,20
TL017043,20
TL017044,20
TL017045,20
TL017046,20
TL017047,20
TL017048,20
TL017049,20
TL018040,20
TL018041,20
TL018042,20
TL018043,20
TL018044,20
TL018045,20
TL018046,20
TL018047,20
TL018048,20
TL018049,20
TL019040,20
TL019041,20
TL019042,20
TL019043,20
TL019044,20
TL019045,20
TL019046,20
TL019047,20
TL019048,20
TL019049,20
TL0105,20+24
