TA,0+54+61+62
TA012240,0
TA012241,0
TA012242,0
TA012243,0
TA012244,0
TA012245,0
TA012246,0
TA012247,0
TA012248,0
TA012249,0
TA013240,0
TA013241,0
TA013242,0
TA013243,0
TA013244,0
TA013245,0
TA013246,0
TA013247,0
TA013248,0
TA013249,0
TA014240,0
TA014241,0
TA014242,0
TA014243,0
TA014244,0
TA014245,0
TA014246,0
TA014247,0
TA014248,0
TA014249,0
TA015240,0
TA015241,0
TA015242,0
TA015243,0
TA015244,0
TA015245,0
TA015246,0
TA015247,0
TA015248,0
TA015249,0
TA016240,0
TA016241,0
TA016242,0
TA016243,0
TA016244,0
TA016245,0
TA016246,0
TA016247,0
TA016248,0
TA016249,0
TA017240,0
TA017241,0
TA017242,0
TA017243,0
TA017244,0
TA017245,0
TA017246,0
TA017247,0
TA017248,0
TA017249,0
TA018240,0
TA018241,0
TA018242,0
TA018243,0
TA018244,0
TA018245,0
TA018246,0
TA018247,0
TA018248,0
TA018249,0
TA019240,0
TA019241,0
TA019242,0
TA019243,0
TA019244,0
TA019245,0
TA019246,0
TA019247,0
TA019248,0
TA019249,0
TA0125,0+61
TA010250,61
TA010251,61
TA010252,61
TA010253,61
TA010254,61
TA010255,61
TA010256,61
TA010257,61
TA010258,61
TA010259,61
TA011250,0+61
TA011251,61
TA011252,61
TA011253,61
TA011254,61
TA011255,61
TA011256,61
TA011257,61
TA011258,61
TA011259,61
TA012250,0+61
TA012251,61
TA012252,61
TA012253,61
TA012254,61
TA012255,61
TA012256,61
TA012257,61
TA012258,61
TA012259,61
TA013250,0+61
TA013251,61
TA013252,61
TA013253,61
TA013254,61
TA013255,61
TA013256,61
TA013257,61
TA013258,61
TA013259,61
TA014250,0+61
TA014251,61
TA014252,61
TA014253,61
TA014254,61
TA014255,61
TA014256,61
TA014257,61
TA014258,61
TA014259,61
TA015250,0+61
TA015251,61
TA015252,61
TA015253,61
TA015254,61
TA015255,61
TA015256,61
TA015257,61
TA015258,61
TA015259,61
TA016250,0+61
TA016251,61
TA016252,61
TA016253,61
TA016254,61
TA016255,61
TA016256,61
TA016257,61
TA016258,61
TA016259,61
TA017250,0+61
TA017251,0+61
TA017252,61
TA017253,61
TA017254,61
TA017255,61
TA017256,61
TA017257,61
TA017258,61
TA017259,61
TA018250,0
TA018251,0+61
TA018252,61
TA018253,61
TA018254,61
TA018255,61
TA018256,61
TA018257,61
TA018258,61
TA018259,61
TA019250,0
TA019251,0+61
TA019252,61
TA019253,61
TA019254,61
TA019255,61
TA019256,61
TA019257,61
TA019258,61
TA019259,61
TA02D,61
TA02E,61
TA02F,54
TA02G,0+54
TA0222,54
TA0223,0+54
TA020230,54
TA020231,54
TA020232,54
TA020233,54
TA020234,54
TA020235,54
TA020236,54
TA020237,54
TA020238,0+54
TA020239,0
TA021230,54
TA021231,54
TA021232,54
TA021233,54
TA021234,54
TA021235,54
TA021236,54
TA021237,54
TA021238,0+54
TA021239,0
TA022230,54
TA022231,54
TA022232,54
TA022233,54
TA022234,54
TA022235,54
TA022236,54
TA022237,54
TA022238,0+54
TA022239,0+54
TA023230,54
TA023231,54
TA023232,54
TA023233,54
TA023234,54
TA023235,54
TA023236,54
TA023237,54
TA023238,54
TA023239,0+54
TA024230,54
TA024231,54
TA024232,54
TA024233,54
TA024234,54
TA024235,54
TA024236,54
TA024237,54
TA024238,54
TA024239,0+54
TA025230,54
TA025231,54
TA025232,54
TA025233,54
TA025234,54
TA025235,54
TA025236,54
TA025237,54
TA025238,54
TA025239,54
TA026230,54
TA026231,54
TA026232,54
TA026233,54
TA026234,54
TA026235,54
TA026236,54
TA026237,54
TA026238,54
TA026239,54
TA027230,54
TA027231,54
TA027232,54
TA027233,54
TA027234,54
TA027235,54
TA027236,54
TA027237,54
TA027238,54
TA027239,54
TA028230,54
TA028231,54
TA028232,54
TA028233,54
TA028234,54
TA028235,54
TA028236,54
TA028237,0+54
TA028238,0+54
TA028239,54
TA029230,54
TA029231,54
TA029232,54
TA029233,54
TA029234,54
TA029235,54
TA029236,54
TA029237,0+54
TA029238,0+54
TA029239,54
TA0322,54
TA0323,0+54
TA030230,54
TA030231,54
TA030232,54
TA030233,54
TA030234,54
TA030235,54
TA030236,54
TA030237,0+54
TA030238,0+54
TA030239,54
TA031230,54
TA031231,54
TA031232,54
TA031233,54
TA031234,54
TA031235,54
TA031236,54
TA031237,0+54
TA031238,0+54
TA031239,0+54
TA032230,54
TA032231,54
TA032232,54
TA032233,54
TA032234,54
TA032235,54
TA032236,0+54
TA032237,0+54
TA032238,0
TA032239,0+54
TA033230,54
TA033231,54
TA033232,54
TA033233,54
TA033234,54
TA033235,54
TA033236,0+54
TA033237,0
TA033238,0
TA033239,0+54
TA034230,54
TA034231,54
TA034232,54
TA034233,54
TA034234,54
TA034235,54
TA034236,0+54
TA034237,0
TA034238,0
TA034239,0
TA035230,54
TA035231,54
TA035232,54
TA035233,54
TA035234,54
TA035235,54
TA035236,0+54
TA035237,0
TA035238,0
TA035239,0
TA036230,54
TA036231,54
TA036232,54
TA036233,54
TA036234,54
TA036235,54
TA036236,0+54
TA036237,0+54
TA036238,0
TA036239,0
TA037230,54
TA037231,54
TA037232,54
TA037233,54
TA037234,54
TA037235,54
TA037236,0+54
TA037237,0+54
TA037238,0
TA037239,0
TA038230,54
TA038231,54
TA038232,54
TA038233,54
TA038234,54
TA038235,54
TA038236,54
TA038237,0+54
TA038238,0
TA038239,0
TA039230,54
TA039231,54
TA039232,54
TA039233,54
TA039234,54
TA039235,54
TA039236,54
TA039237,0+54
TA039238,0
TA039239,0
TA02H,0+54+61
TA0224,0+54
TA020240,0
TA020241,0
TA020242,0
TA020243,0
TA020244,0
TA020245,0
TA020246,0
TA020247,0
TA020248,0
TA020249,0
TA021240,0
TA021241,0
TA021242,0
TA021243,0
TA021244,0
TA021245,0
TA021246,0
TA021247,0
TA021248,0
TA021249,0
TA022240,0
TA022241,0
TA022242,0
TA022243,0
TA022244,0
TA022245,0
TA022246,0
TA022247,0
TA022248,0
TA022249,0
TA023240,0
TA023241,0
TA023242,0
TA023243,0
TA023244,0
TA023245,0
TA023246,0
TA023247,0
TA023248,0
TA023249,0
TA024240,0+54
TA024241,0
TA024242,0
TA024243,0
TA024244,0
TA024245,0
TA024246,0
TA024247,0
TA024248,0
TA024249,0
TA025240,0+54
TA025241,0
TA025242,0
TA025243,0
TA025244,0
TA025245,0
TA025246,0
TA025247,0
TA025248,0
TA025249,0
TA026240,0+54
TA026241,0
TA026242,0
TA026243,0
TA026244,0
TA026245,0
TA026246,0
TA026247,0
TA026248,0
TA026249,0
TA027240,0+54
TA027241,0
TA027242,0
TA027243,0
TA027244,0
TA027245,0
TA027246,0
TA027247,0
TA027248,0
TA027249,0
TA028240,0+54
TA028241,0
TA028242,0
TA028243,0
TA028244,0
TA028245,0
TA028246,0
TA028247,0
TA028248,0
TA028249,0
TA029240,0+54
TA029241,0
TA029242,0
TA029243,0
TA029244,0
TA029245,0
TA029246,0
TA029247,0
TA029248,0
TA029249,0
TA0225,0+61
TA020250,0
TA020251,0+61
TA020252,61
TA020253,61
TA020254,61
TA020255,61
TA020256,61
TA020257,61
TA020258,61
TA020259,61
TA021250,0
TA021251,0+61
TA021252,61
TA021253,61
TA021254,61
TA021255,61
TA021256,61
TA021257,61
TA021258,61
TA021259,61
TA022250,0
TA022251,0+61
TA022252,61
TA022253,61
TA022254,61
TA022255,61
TA022256,61
TA022257,61
TA022258,61
TA022259,61
TA023250,0
TA023251,0+61
TA023252,61
TA023253,61
TA023254,61
TA023255,61
TA023256,61
TA023257,61
TA023258,61
TA023259,61
TA024250,0
TA024251,0+61
TA024252,0+61
TA024253,61
TA024254,61
TA024255,61
TA024256,61
TA024257,61
TA024258,61
TA024259,61
TA025250,0
TA025251,0
TA025252,0+61
TA025253,61
TA025254,61
TA025255,61
TA025256,61
TA025257,61
TA025258,61
TA025259,61
TA026250,0
TA026251,0
TA026252,0+61
TA026253,61
TA026254,61
TA026255,61
TA026256,61
TA026257,61
TA026258,61
TA026259,61
TA027250,0
TA027251,0
TA027252,0+61
TA027253,61
TA027254,61
TA027255,61
TA027256,61
TA027257,61
TA027258,61
TA027259,61
TA028250,0
TA028251,0
TA028252,0
TA028253,0+61
TA028254,61
TA028255,61
TA028256,61
TA028257,61
TA028258,61
TA028259,61
TA029250,0
TA029251,0
TA029252,0
TA029253,0+61
TA029254,61
TA029255,61
TA029256,61
TA029257,61
TA029258,61
TA029259,61
TA0324,0+54
TA030240,0+54
TA030241,0
TA030242,0
TA030243,0
TA030244,0
TA030245,0
TA030246,0
TA030247,0
TA030248,0
TA030249,0
TA031240,0+54
TA031241,0
TA031242,0
TA031243,0
TA031244,0
TA031245,0
TA031246,0
TA031247,0
TA031248,0
TA031249,0
TA032240,0+54
TA032241,0
TA032242,0
TA032243,0
TA032244,0
TA032245,0
TA032246,0
TA032247,0
TA032248,0
TA032249,0
TA033240,0+54
TA033241,0
TA033242,0
TA033243,0
TA033244,0
TA033245,0
TA033246,0
TA033247,0
TA033248,0
TA033249,0
TA034240,0+54
TA034241,0
TA034242,0
TA034243,0
TA034244,0
TA034245,0
TA034246,0
TA034247,0
TA034248,0
TA034249,0
TA035240,0+54
TA035241,0
TA035242,0
TA035243,0
TA035244,0
TA035245,0
TA035246,0
TA035247,0
TA035248,0
TA035249,0
TA036240,0+54
TA036241,0
TA036242,0
TA036243,0
TA036244,0
TA036245,0
TA036246,0
TA036247,0
TA036248,0
TA036249,0
TA037240,0
TA037241,0
TA037242,0
TA037243,0
TA037244,0
TA037245,0
TA037246,0
TA037247,0
TA037248,0
TA037249,0
TA038240,0
TA038241,0
TA038242,0
TA038243,0
TA038244,0
TA038245,0
TA038246,0
TA038247,0
TA038248,0
TA038249,0
TA039240,0
TA039241,0
TA039242,0
TA039243,0
TA039244,0
TA039245,0
TA039246,0
TA039247,0
TA039248,0
TA039249,0
TA0325,0+61
TA030250,0
TA030251,0
TA030252,0
TA030253,0+61
TA030254,61
TA030255,61
TA030256,61
TA030257,61
TA030258,61
TA030259,61
TA031250,0
TA031251,0
TA031252,0
TA031253,0+61
TA031254,0+61
TA031255,61
TA031256,61
TA031257,61
TA031258,61
TA031259,61
TA032250,0
TA032251,0
TA032252,0
TA032253,0
TA032254,0+61
TA032255,61
TA032256,61
TA032257,61
TA032258,61
TA032259,61
TA033250,0
TA033251,0
TA033252,0
TA033253,0
TA033254,0+61
TA033255,0+61
TA033256,61
TA033257,61
TA033258,61
TA033259,61
TA034250,0
TA034251,0
TA034252,0
TA034253,0
TA034254,0
TA034255,0+61
TA034256,61
TA034257,61
TA034258,61
TA034259,61
TA035250,0
TA035251,0
TA035252,0
TA035253,0
TA035254,0
TA035255,0+61
TA035256,61
TA035257,61
TA035258,61
TA035259,61
TA036250,0
TA036251,0
TA036252,0
TA036253,0
TA036254,0
TA036255,0+61
TA036256,0+61
TA036257,61
TA036258,61
TA036259,61
TA037250,0
TA037251,0
TA037252,0
TA037253,0
TA037254,0
TA037255,0
TA037256,0+61
TA037257,61
TA037258,61
TA037259,61
TA038250,0
TA038251,0
TA038252,0
TA038253,0
TA038254,0
TA038255,0
TA038256,0+61
TA038257,61
TA038258,61
TA038259,61
TA039250,0
TA039251,0
TA039252,0
TA039253,0
TA039254,0
TA039255,0
TA039256,0+61
TA039257,0+61
TA039258,61
TA039259,61
TA02I,61
TA02J,61
TA02K,54
TA02L,0+54
TA0422,54
TA0423,0+54
TA040230,54
TA040231,54
TA040232,54
TA040233,54
TA040234,54
TA040235,54
TA040236,54
TA040237,0+54
TA040238,0
TA040239,0
TA041230,54
