TG,0+25+27+28
TG031044,27+28
TG031045,27+28
TG031046,27+28
TG031047,27+28
TG031048,27+28
TG031049,27
TG032040,27
TG032041,27
TG032042,27
TG032043,27
TG032044,27
TG032045,27
TG032046,27
TG032047,27
TG032048,27
TG032049,27
TG033040,27
TG033041,27
TG033042,27
TG033043,27
TG033044,27
TG033045,27
TG033046,27
TG033047,27
TG033048,27
TG033049,27
TG034040,27
TG034041,27
TG034042,27
TG034043,27
TG034044,27
TG034045,27
TG034046,27
TG034047,27
TG034048,27
TG034049,27
TG035040,27
TG035041,27
TG035042,27
TG035043,27
TG035044,27
TG035045,27
TG035046,27
TG035047,27
TG035048,27
TG035049,27
TG036040,27
TG036041,27
TG036042,27
TG036043,27
TG036044,27
TG036045,27
TG036046,27
TG036047,27
TG036048,27
TG036049,27
TG037040,27
TG037041,27
TG037042,27
TG037043,27
TG037044,27
TG037045,27
TG037046,27
TG037047,27
TG037048,27
TG037049,27
TG038040,27
TG038041,27
TG038042,27
TG038043,27
TG038044,27
TG038045,27
TG038046,27
TG038047,27
TG038048,27
TG038049,27
TG039040,27
TG039041,27
TG039042,27
TG039043,27
TG039044,27
TG039045,27
TG039046,27
TG039047,27
TG039048,27
TG039049,27
TG0305,27+28
TG030050,27+28
TG030051,27+28
TG030052,27+28
TG030053,27+28
TG030054,27+28
TG030055,27+28
TG030056,27+28
TG030057,27+28
TG030058,27+28
TG030059,27+28
TG031050,27
TG031051,27
TG031052,27
TG031053,27
TG031054,27
TG031055,27
TG031056,27
TG031057,27
TG031058,27
TG031059,27
TG032050,27
TG032051,27
TG032052,27
TG032053,27
TG032054,27
TG032055,27
TG032056,27
TG032057,27
TG032058,27
TG032059,27
TG033050,27
TG033051,27
TG033052,27
TG033053,27
TG033054,27
TG033055,27
TG033056,27
TG033057,27
TG033058,27
TG033059,27
TG034050,27
TG034051,27
TG034052,27
TG034053,27
TG034054,27
TG034055,27
TG034056,27
TG034057,27
TG034058,27
TG034059,27
TG035050,27
TG035051,27
TG035052,27
TG035053,27
TG035054,27
TG035055,27
TG035056,27
TG035057,27
TG035058,27
TG035059,27
TG036050,27
TG036051,27
TG036052,27
TG036053,27
TG036054,27
TG036055,27
TG036056,27
TG036057,27
TG036058,27
TG036059,27
TG037050,27
TG037051,27
TG037052,27
TG037053,27
TG037054,27
TG037055,27
TG037056,27
TG037057,27
TG037058,27
TG037059,27
TG038050,27
TG038051,27
TG038052,27
TG038053,27
TG038054,27
TG038055,27
TG038056,27
TG038057,27
TG038058,27
TG038059,27
TG039050,27
TG039051,27
TG039052,27
TG039053,27
TG039054,27
TG039055,27
TG039056,27
TG039057,27
TG039058,27
TG039059,27
TG00I,27+28
TG0206,28
TG0207,27+28
TG020070,28
TG020071,28
TG020072,28
TG020073,28
TG020074,28
TG020075,28
TG020076,28
TG020077,28
TG020078,28
TG020079,28
TG021070,28
TG021071,28
