NY,0+65+66+67+68+69+70+72+73+80
NY00,0+70
NY00SW,0+70
NY00NW,0+70
NY002051,70
NY002052,70
NY002053,70
NY002054,70
NY002055,70
NY002056,70
NY002057,70
NY002058,70
NY002059,70
NY003050,70
NY003051,70
NY003052,70
NY003053,70
NY003054,70
NY003055,70
NY003056,70
NY003057,70
NY003058,70
NY003059,70
NY004050,70
NY004051,70
NY004052,70
NY004053,70
NY004054,70
NY004055,70
NY004056,70
NY004057,70
NY004058,70
NY004059,70
NY005050,70
NY005051,70
NY005052,70
NY005053,70
NY005054,70
NY005055,70
NY005056,70
NY005057,70
NY005058,70
NY005059,70
NY006050,70
NY006051,70
NY006052,70
NY006053,70
NY006054,70
NY006055,70
NY006056,70
NY006057,70
NY006058,70
NY006059,70
NY007050,70
NY007051,70
NY007052,70
NY007053,70
NY007054,70
NY007055,70
NY007056,70
NY007057,70
NY007058,70
NY007059,70
NY008050,70
NY008051,70
NY008052,70
NY008053,70
NY008054,70
NY008055,70
NY008056,70
NY008057,70
NY008058,70
NY008059,70
NY009050,70
NY009051,70
NY009052,70
NY009053,70
NY009054,70
NY009055,70
NY009056,70
NY009057,70
NY009058,70
NY009059,70
NY0104,70
NY0105,70
NY00D,70
NY00E,70
NY00F,0+70
NY0200,0
NY0201,0+70
NY020010,0
NY020011,0
NY020012,0
NY020013,0
NY020014,0
NY020015,0
NY020016,0
NY020017,0
NY020018,0
NY020019,0
NY021010,0
NY021011,0
NY021012,0
NY021013,0
NY021014,0
NY021015,0
NY021016,0
NY021017,0
NY021018,0
NY021019,0
NY022010,0
NY022011,0
NY022012,0
NY022013,0
NY022014,0
NY022015,0
NY022016,0
NY022017,0
NY022018,0
NY022019,0+70
NY023010,0
NY023011,0
NY023012,0
NY023013,0
NY023014,0
NY023015,0
NY023016,0
NY023017,0
NY023018,0
NY023019,0+70
NY024010,0
NY024011,0
NY024012,0
NY024013,0
NY024014,0
NY024015,0
NY024016,0
NY024017,0+70
NY024018,0+70
NY024019,0+70
NY025010,0
NY025011,0
NY025012,0
NY025013,0
NY025014,0
NY025015,0
NY025016,0+70
NY025017,0+70
NY025018,70
NY025019,70
NY026010,0
NY026011,0
NY026012,0
NY026013,0
NY026014,0
NY026015,0+70
NY026016,0+70
NY026017,70
NY026018,70
NY026019,70
NY027010,0
NY027011,0
NY027012,0
NY027013,0+70
NY027014,0+70
NY027015,0+70
NY027016,70
NY027017,70
NY027018,70
NY027019,70
NY028010,0
NY028011,0
NY028012,0+70
NY028013,0+70
NY028014,70
NY028015,70
NY028016,70
NY028017,70
NY028018,70
NY028019,70
NY029010,0
NY029011,0+70
NY029012,0+70
NY029013,70
NY029014,70
NY029015,70
NY029016,70
NY029017,70
NY029018,70
NY029019,70
NY0300,0+70
NY030000,0
NY030001,0
NY030002,0
NY030003,0
NY030004,0
NY030005,0
NY030006,0
NY030007,0
NY030008,0
NY030009,0+70
NY031000,0
NY031001,0
NY031002,0
NY031003,0
NY031004,0
NY031005,0
NY031006,0
NY031007,0+70
NY031008,0+70
NY031009,0+70
NY032000,0
NY032001,0
NY032002,0
NY032003,0
NY032004,0
NY032005,0+70
NY032006,0+70
NY032007,0+70
NY032008,70
NY032009,70
NY033000,0
NY033001,0
NY033002,0
NY033003,0+70
NY033004,0+70
NY033005,0+70
NY033006,70
NY033007,70
NY033008,70
NY033009,70
NY034000,0
NY034001,0
NY034002,0+70
NY034003,0+70
NY034004,70
NY034005,70
NY034006,70
NY034007,70
NY034008,70
NY034009,70
NY035000,0+70
NY035001,0+70
NY035002,0+70
NY035003,70
NY035004,70
NY035005,70
NY035006,70
NY035007,70
NY035008,70
NY035009,70
NY036000,0+70
NY036001,70
NY036002,70
NY036003,70
NY036004,70
NY036005,70
NY036006,70
NY036007,70
NY036008,70
NY036009,70
NY037000,70
NY037001,70
NY037002,70
NY037003,70
NY037004,70
NY037005,70
NY037006,70
NY037007,70
NY037008,70
NY037009,70
NY038000,70
NY038001,70
NY038002,70
NY038003,70
NY038004,70
NY038005,70
NY038006,70
NY038007,70
NY038008,70
NY038009,70
NY039000,70
NY039001,70
NY039002,70
NY039003,70
NY039004,70
NY039005,70
NY039006,70
NY039007,70
NY039008,70
NY039009,70
NY0301,0+70
NY030010,0+70
NY030011,70
NY030012,70
NY030013,70
NY030014,70
NY030015,70
NY030016,70
NY030017,70
NY030018,70
NY030019,70
NY031010,70
NY031011,70
NY031012,70
NY031013,70
NY031014,70
NY031015,70
NY031016,70
NY031017,70
NY031018,70
NY031019,70
NY032010,70
NY032011,70
NY032012,70
NY032013,70
NY032014,70
NY032015,70
NY032016,70
NY032017,70
NY032018,70
NY032019,70
NY033010,70
NY033011,70
NY033012,70
NY033013,70
NY033014,70
NY033015,70
NY033016,70
NY033017,70
NY033018,70
NY033019,70
NY034010,70
NY034011,70
NY034012,70
NY034013,70
NY034014,70
NY034015,70
NY034016,70
NY034017,70
NY034018,70
NY034019,70
NY035010,70
NY035011,70
NY035012,70
NY035013,70
NY035014,70
NY035015,70
NY035016,70
NY035017,70
NY035018,70
NY035019,70
NY036010,70
NY036011,70
NY036012,70
NY036013,70
NY036014,70
NY036015,70
NY036016,70
NY036017,70
NY036018,70
NY036019,70
NY037010,70
NY037011,70
NY037012,70
NY037013,70
NY037014,70
NY037015,70
NY037016,70
NY037017,70
NY037018,70
NY037019,70
NY038010,70
NY038011,70
NY038012,70
NY038013,70
NY038014,70
NY038015,70
NY038016,70
NY038017,70
NY038018,70
NY038019,70
NY039010,70
NY039011,70
NY039012,70
NY039013,70
NY039014,70
NY039015,70
NY039016,70
NY039017,70
NY039018,70
NY039019,70
NY00G,0+70
NY0202,0+70
NY020020,0
NY020021,0
NY020022,0+70
NY020023,0+70
NY020024,70
NY020025,70
NY020026,70
NY020027,70
NY020028,70
NY020029,70
NY021020,0
NY021021,0+70
NY021022,0+70
